x	y	0.fitness	0.targets.dist.0.	0.targets.dist.1.	0.targets.dist.2.	5000.fitness	5000.targets.dist.0.	5000.targets.dist.1.	5000.targets.dist.2.	10000.fitness	10000.targets.dist.0.	10000.targets.dist.1.	10000.targets.dist.2.	15000.fitness	15000.targets.dist.0.	15000.targets.dist.1.	15000.targets.dist.2.	20000.fitness	20000.targets.dist.0.	20000.targets.dist.1.	20000.targets.dist.2.	25000.fitness	25000.targets.dist.0.	25000.targets.dist.1.	25000.targets.dist.2.	30000.fitness	30000.targets.dist.0.	30000.targets.dist.1.	30000.targets.dist.2.	40000.fitness	40000.targets.dist.0.	40000.targets.dist.1.	40000.targets.dist.2.	50000.fitness	50000.targets.dist.0.	50000.targets.dist.1.	50000.targets.dist.2.
0	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
0	1	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
0	2	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
0	3	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
0	4	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
0	5	6.059e+00	6.059e+00	6.166e+00	7.615e+00	3.030e+00	3.030e+00	4.947e+00	6.335e+00	1.985e+00	4.545e+00	1.985e+00	6.002e+00	1.970e+00	4.750e+00	1.970e+00	5.585e+00	1.567e+00	5.078e+00	1.567e+00	6.260e+00	1.567e+00	5.078e+00	1.567e+00	6.260e+00	1.567e+00	5.078e+00	1.567e+00	6.260e+00	1.406e+00	5.070e+00	1.406e+00	6.521e+00	1.406e+00	5.070e+00	1.406e+00	6.521e+00
0	6	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
0	7	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
0	8	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
0	9	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
0	10	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
1	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
1	1	6.607e+00	7.111e+00	6.607e+00	9.007e+00	2.191e+00	4.588e+00	2.191e+00	5.841e+00	1.862e+00	5.028e+00	1.862e+00	6.736e+00	1.744e+00	5.189e+00	1.744e+00	6.659e+00	1.650e+00	4.773e+00	1.650e+00	6.330e+00	1.596e+00	4.782e+00	1.596e+00	6.157e+00	1.469e+00	5.019e+00	1.469e+00	6.543e+00	1.469e+00	5.019e+00	1.469e+00	6.543e+00	1.469e+00	5.019e+00	1.469e+00	6.543e+00
1	2	6.341e+00	6.341e+00	6.485e+00	8.193e+00	2.822e+00	4.690e+00	2.822e+00	6.633e+00	1.569e+00	5.280e+00	1.569e+00	6.396e+00	1.569e+00	5.280e+00	1.569e+00	6.396e+00	1.541e+00	4.764e+00	1.541e+00	6.456e+00	1.541e+00	4.764e+00	1.541e+00	6.456e+00	1.514e+00	4.815e+00	1.514e+00	6.248e+00	1.514e+00	4.815e+00	1.514e+00	6.248e+00	1.505e+00	5.231e+00	1.505e+00	6.211e+00
1	3	5.737e+00	5.938e+00	5.737e+00	8.119e+00	2.415e+00	4.827e+00	2.415e+00	7.054e+00	1.793e+00	5.222e+00	1.793e+00	6.556e+00	1.551e+00	5.302e+00	1.551e+00	6.747e+00	1.551e+00	5.302e+00	1.551e+00	6.747e+00	1.492e+00	5.582e+00	1.492e+00	6.544e+00	1.452e+00	5.465e+00	1.452e+00	6.711e+00	1.452e+00	5.465e+00	1.452e+00	6.711e+00	1.452e+00	5.465e+00	1.452e+00	6.711e+00
1	4	6.024e+00	6.646e+00	6.024e+00	7.911e+00	2.654e+00	5.938e+00	2.654e+00	7.311e+00	2.065e+00	5.200e+00	2.065e+00	6.704e+00	1.479e+00	4.918e+00	1.479e+00	6.054e+00	1.479e+00	4.918e+00	1.479e+00	6.054e+00	1.479e+00	4.918e+00	1.479e+00	6.054e+00	1.479e+00	4.918e+00	1.479e+00	6.054e+00	1.233e+00	5.277e+00	1.233e+00	6.735e+00	1.233e+00	5.277e+00	1.233e+00	6.735e+00
1	5	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
1	6	6.494e+00	6.693e+00	6.494e+00	8.388e+00	2.380e+00	5.110e+00	2.380e+00	5.834e+00	1.607e+00	5.115e+00	1.607e+00	6.142e+00	1.607e+00	5.115e+00	1.607e+00	6.142e+00	1.607e+00	5.115e+00	1.607e+00	6.142e+00	1.343e+00	5.087e+00	1.343e+00	6.414e+00	1.343e+00	5.087e+00	1.343e+00	6.414e+00	1.343e+00	5.087e+00	1.343e+00	6.414e+00	1.157e+00	5.151e+00	1.157e+00	6.263e+00
1	7	6.937e+00	6.998e+00	6.937e+00	8.832e+00	2.293e+00	5.189e+00	2.293e+00	6.773e+00	2.293e+00	5.189e+00	2.293e+00	6.773e+00	1.796e+00	5.238e+00	1.796e+00	6.470e+00	1.791e+00	5.313e+00	1.791e+00	6.730e+00	1.756e+00	4.678e+00	1.756e+00	6.569e+00	1.614e+00	5.285e+00	1.614e+00	6.941e+00	1.500e+00	5.559e+00	1.500e+00	7.122e+00	1.500e+00	5.559e+00	1.500e+00	7.122e+00
1	8	5.973e+00	6.903e+00	5.973e+00	8.108e+00	2.348e+00	4.940e+00	2.348e+00	6.493e+00	1.969e+00	4.977e+00	1.969e+00	6.900e+00	1.960e+00	5.188e+00	1.960e+00	6.923e+00	1.390e+00	4.811e+00	1.390e+00	6.103e+00	1.390e+00	4.811e+00	1.390e+00	6.103e+00	1.359e+00	5.053e+00	1.359e+00	6.270e+00	1.359e+00	5.053e+00	1.359e+00	6.270e+00	1.279e+00	4.929e+00	1.279e+00	6.624e+00
1	9	6.737e+00	6.779e+00	6.737e+00	8.342e+00	2.204e+00	5.783e+00	2.204e+00	7.411e+00	1.919e+00	5.623e+00	1.919e+00	6.980e+00	1.887e+00	5.637e+00	1.887e+00	7.055e+00	1.675e+00	5.323e+00	1.675e+00	6.435e+00	1.644e+00	4.781e+00	1.644e+00	6.125e+00	1.514e+00	4.809e+00	1.514e+00	6.011e+00	1.319e+00	5.128e+00	1.319e+00	6.611e+00	1.319e+00	5.128e+00	1.319e+00	6.611e+00
1	10	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
2	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
2	1	6.094e+00	6.575e+00	6.094e+00	7.737e+00	2.509e+00	4.679e+00	2.509e+00	6.223e+00	1.702e+00	5.160e+00	1.702e+00	6.312e+00	1.636e+00	5.529e+00	1.636e+00	6.486e+00	1.559e+00	5.110e+00	1.559e+00	6.576e+00	1.559e+00	5.110e+00	1.559e+00	6.576e+00	1.559e+00	5.110e+00	1.559e+00	6.576e+00	1.251e+00	5.793e+00	1.251e+00	7.046e+00	1.251e+00	5.793e+00	1.251e+00	7.046e+00
2	2	6.070e+00	6.441e+00	6.070e+00	7.721e+00	2.630e+00	4.879e+00	2.630e+00	6.303e+00	1.997e+00	5.758e+00	1.997e+00	6.586e+00	1.706e+00	5.722e+00	1.706e+00	6.956e+00	1.396e+00	5.334e+00	1.396e+00	6.409e+00	1.396e+00	5.334e+00	1.396e+00	6.409e+00	1.396e+00	5.334e+00	1.396e+00	6.409e+00	1.316e+00	5.451e+00	1.316e+00	6.510e+00	1.316e+00	5.451e+00	1.316e+00	6.510e+00
2	3	6.058e+00	6.058e+00	6.492e+00	8.193e+00	1.904e+00	5.104e+00	1.904e+00	6.489e+00	1.537e+00	5.058e+00	1.537e+00	6.293e+00	1.537e+00	5.058e+00	1.537e+00	6.293e+00	1.537e+00	5.058e+00	1.537e+00	6.293e+00	1.357e+00	5.491e+00	1.357e+00	6.462e+00	1.357e+00	5.491e+00	1.357e+00	6.462e+00	1.357e+00	5.491e+00	1.357e+00	6.462e+00	1.342e+00	5.314e+00	1.342e+00	6.612e+00
2	4	6.481e+00	6.481e+00	6.485e+00	8.367e+00	1.932e+00	4.924e+00	1.932e+00	6.335e+00	1.744e+00	5.355e+00	1.744e+00	6.558e+00	1.639e+00	5.445e+00	1.639e+00	6.545e+00	1.457e+00	5.430e+00	1.457e+00	6.310e+00	1.457e+00	5.430e+00	1.457e+00	6.310e+00	1.457e+00	5.430e+00	1.457e+00	6.310e+00	1.457e+00	5.430e+00	1.457e+00	6.310e+00	1.329e+00	5.872e+00	1.329e+00	7.023e+00
