x	y	0.fitness	0.targets.dist.0.	0.targets.dist.1.	0.targets.dist.2.	5000.fitness	5000.targets.dist.0.	5000.targets.dist.1.	5000.targets.dist.2.	10000.fitness	10000.targets.dist.0.	10000.targets.dist.1.	10000.targets.dist.2.	15000.fitness	15000.targets.dist.0.	15000.targets.dist.1.	15000.targets.dist.2.	20000.fitness	20000.targets.dist.0.	20000.targets.dist.1.	20000.targets.dist.2.	25000.fitness	25000.targets.dist.0.	25000.targets.dist.1.	25000.targets.dist.2.	30000.fitness	30000.targets.dist.0.	30000.targets.dist.1.	30000.targets.dist.2.	40000.fitness	40000.targets.dist.0.	40000.targets.dist.1.	40000.targets.dist.2.	50000.fitness	50000.targets.dist.0.	50000.targets.dist.1.	50000.targets.dist.2.
0	0	6.016e+00	6.162e+00	6.016e+00	8.085e+00	3.137e+00	6.232e+00	3.137e+00	7.370e+00	2.089e+00	4.659e+00	2.089e+00	6.734e+00	2.089e+00	4.659e+00	2.089e+00	6.734e+00	1.651e+00	5.792e+00	1.651e+00	6.939e+00	1.535e+00	4.958e+00	1.535e+00	5.777e+00	1.408e+00	5.330e+00	1.408e+00	6.652e+00	1.408e+00	5.330e+00	1.408e+00	6.652e+00	1.408e+00	5.330e+00	1.408e+00	6.652e+00
0	1	6.732e+00	7.660e+00	6.732e+00	8.652e+00	2.740e+00	5.364e+00	2.740e+00	6.301e+00	2.375e+00	5.314e+00	2.375e+00	7.141e+00	1.967e+00	4.781e+00	1.967e+00	7.022e+00	1.967e+00	4.781e+00	1.967e+00	7.022e+00	1.644e+00	5.267e+00	1.644e+00	6.767e+00	1.644e+00	5.267e+00	1.644e+00	6.767e+00	1.644e+00	5.267e+00	1.644e+00	6.767e+00	1.644e+00	5.267e+00	1.644e+00	6.767e+00
0	2	5.269e+00	6.918e+00	5.269e+00	8.010e+00	2.634e+00	5.051e+00	2.634e+00	6.283e+00	1.922e+00	5.354e+00	1.922e+00	7.011e+00	1.811e+00	5.210e+00	1.811e+00	6.851e+00	1.811e+00	5.210e+00	1.811e+00	6.851e+00	1.775e+00	5.003e+00	1.775e+00	6.226e+00	1.775e+00	5.003e+00	1.775e+00	6.226e+00	1.650e+00	5.273e+00	1.650e+00	6.336e+00	1.511e+00	5.089e+00	1.511e+00	6.635e+00
0	3	6.314e+00	6.462e+00	6.314e+00	7.637e+00	2.809e+00	4.837e+00	2.809e+00	5.633e+00	2.191e+00	5.117e+00	2.191e+00	6.613e+00	2.106e+00	5.220e+00	2.106e+00	6.742e+00	1.661e+00	5.103e+00	1.661e+00	6.735e+00	1.661e+00	5.103e+00	1.661e+00	6.735e+00	1.661e+00	5.103e+00	1.661e+00	6.735e+00	1.616e+00	5.116e+00	1.616e+00	6.653e+00	1.616e+00	5.116e+00	1.616e+00	6.653e+00
0	4	4.894e+00	5.895e+00	4.894e+00	7.734e+00	2.957e+00	5.402e+00	2.957e+00	7.401e+00	2.373e+00	5.717e+00	2.373e+00	7.151e+00	1.983e+00	5.514e+00	1.983e+00	6.714e+00	1.820e+00	5.770e+00	1.820e+00	6.544e+00	1.646e+00	5.848e+00	1.646e+00	6.796e+00	1.505e+00	5.126e+00	1.505e+00	6.289e+00	1.505e+00	5.126e+00	1.505e+00	6.289e+00	1.505e+00	5.126e+00	1.505e+00	6.289e+00
0	5	5.992e+00	5.992e+00	6.411e+00	7.344e+00	3.172e+00	6.224e+00	3.172e+00	7.270e+00	2.143e+00	5.476e+00	2.143e+00	7.157e+00	1.839e+00	5.861e+00	1.839e+00	6.908e+00	1.620e+00	5.161e+00	1.620e+00	6.468e+00	1.620e+00	5.161e+00	1.620e+00	6.468e+00	1.530e+00	5.104e+00	1.530e+00	6.550e+00	1.530e+00	5.104e+00	1.530e+00	6.550e+00	1.530e+00	5.104e+00	1.530e+00	6.550e+00
0	6	6.044e+00	7.301e+00	6.044e+00	8.669e+00	3.865e+00	4.713e+00	3.865e+00	5.802e+00	2.223e+00	5.828e+00	2.223e+00	6.823e+00	1.921e+00	5.910e+00	1.921e+00	7.024e+00	1.921e+00	5.910e+00	1.921e+00	7.024e+00	1.921e+00	5.910e+00	1.921e+00	7.024e+00	1.633e+00	5.324e+00	1.633e+00	6.704e+00	1.564e+00	4.477e+00	1.564e+00	6.188e+00	1.272e+00	5.233e+00	1.272e+00	6.523e+00
0	7	5.887e+00	5.887e+00	5.927e+00	7.489e+00	3.032e+00	4.930e+00	3.032e+00	6.485e+00	1.888e+00	5.489e+00	1.888e+00	7.272e+00	1.888e+00	5.489e+00	1.888e+00	7.272e+00	1.641e+00	5.635e+00	1.641e+00	6.959e+00	1.641e+00	5.635e+00	1.641e+00	6.959e+00	1.588e+00	5.347e+00	1.588e+00	6.952e+00	1.195e+00	5.210e+00	1.195e+00	6.679e+00	1.195e+00	5.210e+00	1.195e+00	6.679e+00
0	8	6.778e+00	7.015e+00	6.778e+00	8.640e+00	2.242e+00	5.043e+00	2.242e+00	6.670e+00	1.844e+00	5.011e+00	1.844e+00	6.661e+00	1.844e+00	5.011e+00	1.844e+00	6.661e+00	1.626e+00	6.032e+00	1.626e+00	7.256e+00	1.626e+00	6.032e+00	1.626e+00	7.256e+00	1.626e+00	6.032e+00	1.626e+00	7.256e+00	1.617e+00	5.438e+00	1.617e+00	6.411e+00	1.606e+00	5.599e+00	1.606e+00	6.654e+00
0	9	6.682e+00	7.523e+00	6.682e+00	8.124e+00	3.222e+00	4.986e+00	3.222e+00	6.582e+00	2.405e+00	5.447e+00	2.405e+00	7.084e+00	1.746e+00	5.374e+00	1.746e+00	6.569e+00	1.670e+00	5.389e+00	1.670e+00	6.879e+00	1.604e+00	5.486e+00	1.604e+00	6.761e+00	1.604e+00	5.486e+00	1.604e+00	6.761e+00	1.604e+00	5.486e+00	1.604e+00	6.761e+00	1.427e+00	5.264e+00	1.427e+00	6.429e+00
