x	y	0.fitness	0.targets.dist.0.	0.targets.dist.1.	0.targets.dist.2.	5000.fitness	5000.targets.dist.0.	5000.targets.dist.1.	5000.targets.dist.2.	10000.fitness	10000.targets.dist.0.	10000.targets.dist.1.	10000.targets.dist.2.	15000.fitness	15000.targets.dist.0.	15000.targets.dist.1.	15000.targets.dist.2.	20000.fitness	20000.targets.dist.0.	20000.targets.dist.1.	20000.targets.dist.2.	25000.fitness	25000.targets.dist.0.	25000.targets.dist.1.	25000.targets.dist.2.	30000.fitness	30000.targets.dist.0.	30000.targets.dist.1.	30000.targets.dist.2.	40000.fitness	40000.targets.dist.0.	40000.targets.dist.1.	40000.targets.dist.2.	50000.fitness	50000.targets.dist.0.	50000.targets.dist.1.	50000.targets.dist.2.
0	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
0	1	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
0	2	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
0	3	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
0	4	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
0	5	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
0	6	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
0	7	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
0	8	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
0	9	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
0	10	9.000e-01	9.000e-01	9.200e-01	9.100e-01	8.800e-01	9.100e-01	8.900e-01	8.800e-01	7.600e-01	7.600e-01	8.500e-01	8.600e-01	6.800e-01	6.800e-01	8.100e-01	8.000e-01	6.700e-01	6.700e-01	8.000e-01	8.000e-01	6.600e-01	6.600e-01	7.900e-01	7.800e-01	5.800e-01	5.800e-01	8.000e-01	7.700e-01	4.700e-01	4.700e-01	7.500e-01	7.300e-01	3.900e-01	3.900e-01	7.600e-01	7.400e-01
0	11	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
0	12	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
0	13	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
0	14	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
0	15	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
0	16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
0	17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
0	18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
0	19	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
0	20	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
1	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
1	1	9.100e-01	9.100e-01	9.100e-01	9.100e-01	8.300e-01	9.300e-01	8.300e-01	9.500e-01	7.900e-01	9.000e-01	7.900e-01	8.900e-01	7.700e-01	9.000e-01	7.700e-01	8.900e-01	7.500e-01	8.900e-01	7.500e-01	9.000e-01	7.200e-01	8.500e-01	7.200e-01	8.300e-01	6.300e-01	8.100e-01	6.300e-01	8.500e-01	5.300e-01	7.600e-01	5.300e-01	7.900e-01	4.000e-01	7.300e-01	4.000e-01	7.900e-01
1	2	8.400e-01	8.400e-01	8.400e-01	8.600e-01	8.200e-01	8.600e-01	8.200e-01	8.400e-01	8.000e-01	9.000e-01	8.000e-01	8.800e-01	7.600e-01	8.800e-01	7.600e-01	8.800e-01	7.400e-01	8.300e-01	7.400e-01	8.600e-01	7.000e-01	8.200e-01	7.000e-01	8.300e-01	6.400e-01	7.800e-01	6.400e-01	8.100e-01	5.600e-01	7.200e-01	5.600e-01	7.700e-01	4.000e-01	7.100e-01	4.000e-01	8.000e-01
1	3	9.100e-01	9.200e-01	9.100e-01	9.200e-01	8.300e-01	8.300e-01	8.600e-01	8.800e-01	7.900e-01	8.500e-01	7.900e-01	8.700e-01	7.300e-01	8.200e-01	7.300e-01	8.300e-01	7.300e-01	8.200e-01	7.300e-01	8.300e-01	6.900e-01	7.700e-01	6.900e-01	8.000e-01	5.900e-01	7.700e-01	5.900e-01	7.800e-01	4.600e-01	7.300e-01	4.600e-01	8.300e-01	3.800e-01	7.800e-01	3.800e-01	7.900e-01
1	4	8.800e-01	9.400e-01	9.100e-01	8.800e-01	8.700e-01	9.300e-01	9.100e-01	8.700e-01	8.100e-01	8.500e-01	8.400e-01	8.100e-01	7.600e-01	8.100e-01	7.600e-01	8.500e-01	7.500e-01	8.100e-01	7.500e-01	8.500e-01	5.900e-01	7.000e-01	5.900e-01	8.300e-01	5.600e-01	6.900e-01	5.600e-01	8.100e-01	4.400e-01	7.700e-01	4.400e-01	8.200e-01	3.500e-01	7.700e-01	3.500e-01	7.500e-01
1	5	8.600e-01	8.900e-01	8.600e-01	9.000e-01	8.500e-01	8.800e-01	8.500e-01	9.000e-01	8.000e-01	8.000e-01	8.500e-01	8.700e-01	6.800e-01	7.600e-01	6.800e-01	8.200e-01	6.400e-01	7.400e-01	6.400e-01	8.100e-01	6.400e-01	7.400e-01	6.400e-01	8.100e-01	5.800e-01	7.500e-01	5.800e-01	8.100e-01	4.900e-01	7.300e-01	4.900e-01	7.500e-01	4.500e-01	7.600e-01	4.500e-01	7.200e-01
1	6	8.600e-01	8.600e-01	9.000e-01	9.300e-01	8.400e-01	8.400e-01	8.400e-01	9.200e-01	7.600e-01	7.600e-01	7.900e-01	8.900e-01	7.000e-01	7.500e-01	7.000e-01	8.100e-01	6.800e-01	7.400e-01	6.800e-01	8.300e-01	6.200e-01	7.500e-01	6.200e-01	8.000e-01	5.500e-01	7.000e-01	5.500e-01	7.900e-01	4.900e-01	6.900e-01	4.900e-01	7.900e-01	4.200e-01	7.200e-01	4.200e-01	7.800e-01
1	7	8.700e-01	8.700e-01	9.100e-01	9.100e-01	8.200e-01	8.600e-01	8.200e-01	9.100e-01	7.900e-01	7.900e-01	7.900e-01	8.900e-01	7.500e-01	7.500e-01	7.900e-01	8.900e-01	7.000e-01	7.700e-01	7.000e-01	8.800e-01	6.400e-01	7.500e-01	6.400e-01	8.400e-01	5.900e-01	7.200e-01	5.900e-01	8.200e-01	5.300e-01	7.100e-01	5.300e-01	7.600e-01	4.700e-01	7.000e-01	4.700e-01	8.000e-01
1	8	8.400e-01	8.400e-01	8.700e-01	9.200e-01	7.500e-01	7.500e-01	8.400e-01	8.900e-01	7.500e-01	7.500e-01	8.400e-01	8.900e-01	7.300e-01	7.300e-01	8.000e-01	8.500e-01	6.900e-01	6.900e-01	8.200e-01	8.500e-01	6.300e-01	6.300e-01	8.400e-01	8.800e-01	6.100e-01	6.100e-01	8.500e-01	8.600e-01	5.600e-01	5.600e-01	8.700e-01	8.400e-01	4.600e-01	4.600e-01	7.800e-01	7.600e-01
1	9	8.700e-01	8.700e-01	8.700e-01	9.600e-01	7.700e-01	7.700e-01	8.600e-01	9.200e-01	7.500e-01	7.500e-01	8.300e-01	9.000e-01	7.000e-01	7.000e-01	7.800e-01	8.400e-01	6.900e-01	6.900e-01	7.900e-01	8.400e-01	6.400e-01	6.400e-01	8.400e-01	8.200e-01	6.000e-01	6.000e-01	8.500e-01	8.600e-01	4.800e-01	4.800e-01	7.700e-01	7.500e-01	3.800e-01	3.800e-01	7.600e-01	7.300e-01
