evals.q.250.	_.circularPointsAiming.25.3.ga.best.fitness	_.circularPointsAiming.25.3.ga.best.fitness.min	_.circularPointsAiming.25.3.ga.best.fitness.max	_.circularPointsAiming.25.3.ga.33.best.fitness	_.circularPointsAiming.25.3.ga.33.best.fitness.min	_.circularPointsAiming.25.3.ga.33.best.fitness.max	_.circularPointsAiming.25.3.pso.best.fitness	_.circularPointsAiming.25.3.pso.best.fitness.min	_.circularPointsAiming.25.3.pso.best.fitness.max	_.circularPointsAiming.25.3.de.best.fitness	_.circularPointsAiming.25.3.de.best.fitness.min	_.circularPointsAiming.25.3.de.best.fitness.max	_.circularPointsAiming.25.3.me.2.best.fitness	_.circularPointsAiming.25.3.me.2.best.fitness.min	_.circularPointsAiming.25.3.me.2.best.fitness.max	_.circularPointsAiming.25.3.cabea.e.11.best.fitness	_.circularPointsAiming.25.3.cabea.e.11.best.fitness.min	_.circularPointsAiming.25.3.cabea.e.11.best.fitness.max	_.circularPointsAiming.25.3.cabea.cc.11.best.fitness	_.circularPointsAiming.25.3.cabea.cc.11.best.fitness.min	_.circularPointsAiming.25.3.cabea.cc.11.best.fitness.max	_.circularPointsAiming.25.3.cabea.e.21.best.fitness	_.circularPointsAiming.25.3.cabea.e.21.best.fitness.min	_.circularPointsAiming.25.3.cabea.e.21.best.fitness.max	_.circularPointsAiming.25.3.cabea.cc.21.best.fitness	_.circularPointsAiming.25.3.cabea.cc.21.best.fitness.min	_.circularPointsAiming.25.3.cabea.cc.21.best.fitness.max
0.000e+00	4.468e+00	4.317e+00	4.701e+00	4.468e+00	4.317e+00	4.701e+00	4.468e+00	4.317e+00	4.701e+00	4.500e+00	4.236e+00	4.743e+00	4.468e+00	4.317e+00	4.701e+00	4.415e+00	4.284e+00	4.630e+00	4.500e+00	4.413e+00	4.739e+00	nan	nan	nan	nan	nan	nan
2.500e+02	3.978e+00	3.735e+00	4.210e+00	4.140e+00	3.942e+00	4.284e+00	4.319e+00	4.084e+00	4.708e+00	3.218e+00	2.908e+00	3.662e+00	4.284e+00	4.070e+00	4.408e+00	4.307e+00	4.203e+00	4.448e+00	4.390e+00	4.189e+00	4.500e+00	nan	nan	nan	4.288e+00	4.181e+00	4.387e+00
5.000e+02	3.216e+00	3.000e+00	3.417e+00	3.393e+00	3.185e+00	3.638e+00	3.571e+00	3.253e+00	3.805e+00	2.259e+00	1.973e+00	2.519e+00	3.959e+00	3.762e+00	4.207e+00	4.203e+00	4.079e+00	4.295e+00	4.068e+00	3.824e+00	4.211e+00	4.288e+00	4.165e+00	4.381e+00	nan	nan	nan
7.500e+02	2.546e+00	2.310e+00	2.681e+00	2.790e+00	2.661e+00	2.916e+00	3.097e+00	2.801e+00	3.323e+00	1.687e+00	1.411e+00	1.950e+00	3.846e+00	3.672e+00	4.027e+00	4.079e+00	3.955e+00	4.200e+00	3.787e+00	3.572e+00	3.905e+00	nan	nan	nan	4.253e+00	4.083e+00	4.311e+00
1.000e+03	2.073e+00	1.883e+00	2.180e+00	2.278e+00	2.185e+00	2.507e+00	2.761e+00	2.519e+00	3.017e+00	1.369e+00	1.117e+00	1.599e+00	3.746e+00	3.639e+00	3.897e+00	3.919e+00	3.785e+00	4.012e+00	3.484e+00	3.296e+00	3.685e+00	4.212e+00	4.027e+00	4.319e+00	4.112e+00	4.000e+00	4.261e+00
1.250e+03	1.712e+00	1.640e+00	1.858e+00	2.040e+00	1.905e+00	2.161e+00	2.584e+00	2.320e+00	2.775e+00	1.172e+00	9.322e-01	1.377e+00	3.639e+00	3.504e+00	3.834e+00	3.639e+00	3.565e+00	3.829e+00	3.253e+00	3.107e+00	3.377e+00	4.128e+00	3.905e+00	4.284e+00	4.000e+00	3.905e+00	4.157e+00
1.500e+03	1.569e+00	1.483e+00	1.656e+00	1.868e+00	1.693e+00	1.915e+00	2.253e+00	2.111e+00	2.496e+00	1.040e+00	8.398e-01	1.252e+00	3.596e+00	3.414e+00	3.716e+00	3.555e+00	3.387e+00	3.637e+00	2.994e+00	2.808e+00	3.188e+00	nan	nan	nan	nan	nan	nan
1.750e+03	1.483e+00	1.438e+00	1.564e+00	1.690e+00	1.632e+00	1.799e+00	2.052e+00	1.914e+00	2.192e+00	9.584e-01	7.772e-01	1.161e+00	3.400e+00	3.260e+00	3.624e+00	3.369e+00	3.252e+00	3.516e+00	2.812e+00	2.707e+00	2.948e+00	4.012e+00	3.855e+00	4.151e+00	3.927e+00	3.837e+00	4.082e+00
2.000e+03	1.406e+00	1.331e+00	1.465e+00	1.616e+00	1.517e+00	1.667e+00	1.870e+00	1.739e+00	2.052e+00	9.138e-01	7.320e-01	1.121e+00	3.336e+00	3.217e+00	3.618e+00	3.265e+00	3.075e+00	3.363e+00	2.738e+00	2.621e+00	2.855e+00	nan	nan	nan	3.884e+00	3.763e+00	4.000e+00
2.250e+03	1.365e+00	1.278e+00	1.406e+00	1.530e+00	1.444e+00	1.632e+00	1.756e+00	1.608e+00	1.878e+00	8.686e-01	6.897e-01	1.090e+00	3.322e+00	3.140e+00	3.616e+00	3.098e+00	2.978e+00	3.252e+00	2.621e+00	2.395e+00	2.715e+00	3.855e+00	3.729e+00	3.991e+00	3.843e+00	3.666e+00	3.906e+00
2.500e+03	1.331e+00	1.217e+00	1.402e+00	1.441e+00	1.370e+00	1.537e+00	1.592e+00	1.489e+00	1.754e+00	8.479e-01	6.678e-01	1.069e+00	3.290e+00	3.128e+00	3.438e+00	3.005e+00	2.882e+00	3.118e+00	2.411e+00	2.253e+00	2.561e+00	nan	nan	nan	nan	nan	nan
2.750e+03	1.300e+00	1.215e+00	1.370e+00	1.414e+00	1.328e+00	1.473e+00	1.512e+00	1.414e+00	1.635e+00	8.400e-01	6.490e-01	1.058e+00	3.282e+00	3.123e+00	3.434e+00	2.882e+00	2.727e+00	2.978e+00	2.279e+00	2.134e+00	2.387e+00	3.850e+00	3.669e+00	3.955e+00	3.722e+00	3.521e+00	3.824e+00
3.000e+03	1.249e+00	1.197e+00	1.332e+00	1.370e+00	1.279e+00	1.441e+00	1.416e+00	1.231e+00	1.548e+00	8.326e-01	6.221e-01	1.051e+00	3.195e+00	3.010e+00	3.396e+00	2.755e+00	2.640e+00	2.873e+00	2.184e+00	2.042e+00	2.252e+00	3.740e+00	3.637e+00	3.851e+00	3.629e+00	3.496e+00	3.723e+00
3.250e+03	1.243e+00	1.180e+00	1.314e+00	1.327e+00	1.264e+00	1.397e+00	1.306e+00	1.124e+00	1.455e+00	8.280e-01	6.078e-01	1.046e+00	3.140e+00	2.975e+00	3.304e+00	2.668e+00	2.520e+00	2.813e+00	2.085e+00	1.976e+00	2.174e+00	nan	nan	nan	3.592e+00	3.429e+00	3.644e+00
3.500e+03	1.240e+00	1.172e+00	1.275e+00	1.325e+00	1.262e+00	1.367e+00	1.229e+00	1.050e+00	1.339e+00	8.221e-01	5.970e-01	1.042e+00	3.126e+00	2.906e+00	3.290e+00	2.564e+00	2.385e+00	2.675e+00	1.991e+00	1.916e+00	2.082e+00	3.697e+00	3.563e+00	3.754e+00	3.479e+00	3.341e+00	3.589e+00
3.750e+03	1.223e+00	1.166e+00	1.267e+00	1.319e+00	1.251e+00	1.348e+00	1.133e+00	9.722e-01	1.252e+00	8.167e-01	5.938e-01	1.037e+00	3.054e+00	2.863e+00	3.211e+00	2.421e+00	2.272e+00	2.602e+00	1.893e+00	1.764e+00	2.028e+00	nan	nan	nan	nan	nan	nan
4.000e+03	1.203e+00	1.154e+00	1.252e+00	1.296e+00	1.223e+00	1.342e+00	1.082e+00	9.090e-01	1.199e+00	8.151e-01	5.870e-01	1.034e+00	3.054e+00	2.849e+00	3.211e+00	2.283e+00	2.124e+00	2.411e+00	1.820e+00	1.713e+00	1.965e+00	3.632e+00	3.454e+00	3.740e+00	3.390e+00	3.271e+00	3.497e+00
4.250e+03	1.180e+00	1.120e+00	1.243e+00	1.273e+00	1.184e+00	1.330e+00	1.052e+00	8.697e-01	1.171e+00	8.142e-01	5.737e-01	1.033e+00	3.047e+00	2.799e+00	3.166e+00	2.204e+00	1.986e+00	2.309e+00	1.764e+00	1.689e+00	1.855e+00	nan	nan	nan	3.336e+00	3.257e+00	3.437e+00
4.500e+03	1.176e+00	1.119e+00	1.222e+00	1.255e+00	1.180e+00	1.328e+00	1.017e+00	8.062e-01	1.103e+00	8.137e-01	5.587e-01	1.032e+00	3.033e+00	2.799e+00	3.140e+00	2.111e+00	1.928e+00	2.214e+00	1.714e+00	1.615e+00	1.802e+00	3.512e+00	3.372e+00	3.672e+00	3.261e+00	3.113e+00	3.338e+00
4.750e+03	1.176e+00	1.104e+00	1.222e+00	1.251e+00	1.180e+00	1.328e+00	9.689e-01	7.683e-01	1.051e+00	8.135e-01	5.524e-01	1.030e+00	2.998e+00	2.752e+00	3.086e+00	2.010e+00	1.890e+00	2.122e+00	1.675e+00	1.579e+00	1.733e+00	3.405e+00	3.254e+00	3.529e+00	nan	nan	nan
5.000e+03	1.164e+00	1.080e+00	1.197e+00	1.251e+00	1.180e+00	1.328e+00	9.187e-01	7.161e-01	1.011e+00	8.050e-01	5.481e-01	1.029e+00	2.919e+00	2.749e+00	3.033e+00	1.983e+00	1.882e+00	2.079e+00	1.662e+00	1.553e+00	1.703e+00	nan	nan	nan	3.175e+00	3.017e+00	3.269e+00
