_.circularPointsAiming.25.3.de	_.circularPointsAiming.25.3.cabea.cc.11	_.circularPointsAiming.25.3.cabea.e.21	_.circularPointsAiming.25.3.cabea.e.11	_.circularPointsAiming.25.3.cabea.cc.21	_.circularPointsAiming.25.3.ga	_.circularPointsAiming.25.3.ga.33	_.circularPointsAiming.25.3.pso	_.circularPointsAiming.25.3.me.2
4.236e+00	2.558e+00	2.741e+00	3.824e+00	2.322e+00	3.877e+00	3.778e+00	3.980e+00	4.028e+00
3.996e+00	2.530e+00	3.650e+00	2.706e+00	2.713e+00	3.892e+00	3.899e+00	3.911e+00	4.030e+00
3.991e+00	3.863e+00	2.737e+00	3.779e+00	3.673e+00	3.876e+00	3.749e+00	3.927e+00	2.942e+00
3.866e+00	3.843e+00	3.542e+00	3.829e+00	2.497e+00	3.815e+00	3.692e+00	3.924e+00	3.856e+00
3.920e+00	3.740e+00	3.097e+00	3.749e+00	2.651e+00	3.798e+00	3.801e+00	3.853e+00	3.747e+00
4.090e+00	3.861e+00	2.911e+00	3.772e+00	2.439e+00	3.800e+00	3.819e+00	3.889e+00	3.913e+00
4.004e+00	3.795e+00	3.768e+00	3.802e+00	2.527e+00	3.838e+00	3.871e+00	3.826e+00	2.723e+00
4.001e+00	3.776e+00	2.642e+00	3.710e+00	2.911e+00	3.884e+00	3.730e+00	3.893e+00	3.925e+00
3.646e+00	3.860e+00	3.577e+00	3.756e+00	2.665e+00	3.800e+00	3.807e+00	3.965e+00	3.942e+00
3.984e+00	3.829e+00	3.703e+00	3.821e+00	3.732e+00	3.838e+00	3.810e+00	3.854e+00	3.810e+00
4.220e+00	3.783e+00	2.801e+00	3.842e+00	2.845e+00	3.852e+00	3.858e+00	3.896e+00	3.849e+00
3.908e+00	2.337e+00	2.830e+00	3.788e+00	3.704e+00	3.839e+00	3.846e+00	3.901e+00	4.106e+00
4.106e+00	3.735e+00	2.862e+00	3.859e+00	2.563e+00	3.880e+00	3.915e+00	3.911e+00	2.689e+00
4.546e+00	3.826e+00	2.823e+00	3.827e+00	2.765e+00	3.864e+00	3.850e+00	3.975e+00	3.796e+00
3.829e+00	3.954e+00	3.004e+00	3.756e+00	2.642e+00	3.793e+00	3.848e+00	4.005e+00	3.874e+00
4.084e+00	2.761e+00	3.657e+00	3.764e+00	3.617e+00	3.781e+00	3.814e+00	3.875e+00	3.922e+00
4.138e+00	3.902e+00	2.746e+00	3.794e+00	2.544e+00	3.836e+00	3.843e+00	3.862e+00	3.395e+00
4.018e+00	2.628e+00	2.984e+00	3.837e+00	2.822e+00	3.804e+00	3.821e+00	3.944e+00	2.824e+00
3.939e+00	3.828e+00	2.687e+00	2.547e+00	3.738e+00	3.790e+00	3.796e+00	3.875e+00	2.539e+00
3.716e+00	3.876e+00	2.807e+00	2.638e+00	3.772e+00	3.900e+00	3.720e+00	3.938e+00	4.019e+00
3.991e+00	3.840e+00	3.638e+00	2.773e+00	2.663e+00	3.826e+00	3.703e+00	3.939e+00	3.825e+00
3.864e+00	2.449e+00	3.623e+00	3.761e+00	2.803e+00	3.828e+00	3.827e+00	3.926e+00	3.439e+00
3.571e+00	3.820e+00	2.812e+00	3.724e+00	2.586e+00	3.844e+00	3.869e+00	3.965e+00	2.667e+00
3.948e+00	2.495e+00	3.751e+00	3.849e+00	2.608e+00	3.863e+00	3.830e+00	3.913e+00	2.878e+00
3.944e+00	3.889e+00	2.660e+00	3.687e+00	3.701e+00	3.902e+00	3.798e+00	3.858e+00	2.579e+00
3.974e+00	3.918e+00	3.508e+00	3.863e+00	3.683e+00	3.927e+00	3.752e+00	3.937e+00	3.781e+00
4.024e+00	3.826e+00	3.089e+00	3.829e+00	2.862e+00	3.813e+00	3.892e+00	3.907e+00	4.014e+00
4.113e+00	2.467e+00	2.836e+00	3.740e+00	2.726e+00	3.844e+00	3.842e+00	3.922e+00	3.896e+00
4.068e+00	3.937e+00	3.739e+00	3.908e+00	2.615e+00	3.805e+00	3.744e+00	3.871e+00	3.808e+00
4.035e+00	3.763e+00	3.055e+00	3.900e+00	2.428e+00	3.831e+00	3.865e+00	3.850e+00	3.845e+00
