_.circularPointsAiming.50.3.de	_.circularPointsAiming.50.3.cabea.cc.11	_.circularPointsAiming.50.3.cabea.e.21	_.circularPointsAiming.50.3.cabea.e.11	_.circularPointsAiming.50.3.cabea.cc.21	_.circularPointsAiming.50.3.ga	_.circularPointsAiming.50.3.ga.33	_.circularPointsAiming.50.3.pso	_.circularPointsAiming.50.3.me.2
1.373e+00	2.015e+00	2.663e+00	2.109e+00	2.306e+00	1.822e+00	1.837e+00	2.687e+00	3.700e+00
1.782e+00	2.081e+00	2.589e+00	2.170e+00	2.582e+00	1.904e+00	1.939e+00	2.467e+00	3.559e+00
1.700e+00	2.133e+00	2.786e+00	2.136e+00	2.739e+00	1.797e+00	1.951e+00	2.544e+00	3.716e+00
1.966e+00	2.147e+00	2.683e+00	2.063e+00	2.303e+00	1.908e+00	1.796e+00	2.625e+00	3.796e+00
2.188e+00	2.172e+00	2.353e+00	1.825e+00	2.338e+00	1.852e+00	2.020e+00	2.646e+00	3.984e+00
1.323e+00	2.184e+00	2.547e+00	2.074e+00	2.470e+00	1.887e+00	2.055e+00	2.374e+00	3.654e+00
1.710e+00	2.151e+00	2.741e+00	2.209e+00	2.707e+00	1.784e+00	1.906e+00	2.193e+00	3.349e+00
2.552e+00	1.939e+00	2.636e+00	2.106e+00	2.583e+00	1.859e+00	2.060e+00	2.463e+00	3.758e+00
1.290e+00	2.075e+00	2.831e+00	2.038e+00	2.617e+00	1.601e+00	1.731e+00	2.478e+00	3.442e+00
1.440e+00	2.166e+00	2.705e+00	2.080e+00	2.632e+00	1.876e+00	1.918e+00	2.557e+00	3.976e+00
1.323e+00	2.078e+00	2.754e+00	2.102e+00	2.599e+00	1.816e+00	2.006e+00	2.604e+00	3.434e+00
2.020e+00	2.222e+00	2.598e+00	2.187e+00	2.574e+00	1.794e+00	2.014e+00	2.331e+00	3.621e+00
1.705e+00	2.173e+00	2.567e+00	2.268e+00	2.429e+00	1.829e+00	2.027e+00	2.596e+00	3.597e+00
1.473e+00	1.977e+00	2.577e+00	2.046e+00	2.556e+00	1.880e+00	1.915e+00	1.787e+00	3.541e+00
2.124e+00	1.916e+00	2.743e+00	2.121e+00	2.600e+00	1.917e+00	1.725e+00	2.750e+00	3.927e+00
1.687e+00	1.963e+00	2.705e+00	2.068e+00	2.638e+00	1.885e+00	2.063e+00	2.226e+00	3.948e+00
1.759e+00	2.016e+00	2.839e+00	2.173e+00	2.198e+00	1.797e+00	1.910e+00	3.115e+00	3.672e+00
1.195e+00	1.969e+00	2.620e+00	2.221e+00	2.499e+00	1.947e+00	1.964e+00	2.621e+00	3.645e+00
1.532e+00	2.014e+00	2.516e+00	2.148e+00	2.500e+00	1.882e+00	1.908e+00	2.994e+00	3.928e+00
1.601e+00	2.001e+00	2.394e+00	2.128e+00	2.608e+00	1.897e+00	1.909e+00	2.866e+00	3.731e+00
1.373e+00	2.162e+00	2.880e+00	2.164e+00	2.461e+00	1.845e+00	1.959e+00	3.013e+00	3.660e+00
1.824e+00	2.137e+00	2.607e+00	2.149e+00	2.460e+00	1.785e+00	1.922e+00	2.398e+00	3.918e+00
1.064e+00	2.121e+00	2.694e+00	2.138e+00	2.539e+00	1.777e+00	2.015e+00	2.441e+00	3.587e+00
1.802e+00	2.060e+00	2.654e+00	2.246e+00	2.542e+00	1.901e+00	2.013e+00	2.379e+00	3.712e+00
1.371e+00	2.073e+00	2.547e+00	2.219e+00	2.550e+00	1.874e+00	2.156e+00	2.345e+00	3.789e+00
1.884e+00	2.129e+00	2.681e+00	2.184e+00	2.587e+00	1.750e+00	1.975e+00	2.308e+00	3.603e+00
2.093e+00	1.961e+00	2.575e+00	2.138e+00	2.382e+00	1.818e+00	1.974e+00	2.624e+00	3.824e+00
2.319e+00	2.222e+00	2.631e+00	2.181e+00	2.593e+00	1.833e+00	2.037e+00	2.863e+00	3.654e+00
1.770e+00	2.138e+00	2.601e+00	2.088e+00	2.440e+00	1.868e+00	2.019e+00	2.416e+00	3.244e+00
2.265e+00	2.236e+00	2.641e+00	1.926e+00	2.397e+00	1.775e+00	1.909e+00	2.640e+00	3.619e+00
