evals.q.250.	_.circularPointsAiming.50.3.ga.all.each.solution.overall.target.distance	_.circularPointsAiming.50.3.ga.all.each.solution.overall.target.distance.min	_.circularPointsAiming.50.3.ga.all.each.solution.overall.target.distance.max	_.circularPointsAiming.50.3.ga.33.all.each.solution.overall.target.distance	_.circularPointsAiming.50.3.ga.33.all.each.solution.overall.target.distance.min	_.circularPointsAiming.50.3.ga.33.all.each.solution.overall.target.distance.max	_.circularPointsAiming.50.3.pso.all.each.solution.overall.target.distance	_.circularPointsAiming.50.3.pso.all.each.solution.overall.target.distance.min	_.circularPointsAiming.50.3.pso.all.each.solution.overall.target.distance.max	_.circularPointsAiming.50.3.de.all.each.solution.overall.target.distance	_.circularPointsAiming.50.3.de.all.each.solution.overall.target.distance.min	_.circularPointsAiming.50.3.de.all.each.solution.overall.target.distance.max	_.circularPointsAiming.50.3.me.2.all.each.solution.overall.target.distance	_.circularPointsAiming.50.3.me.2.all.each.solution.overall.target.distance.min	_.circularPointsAiming.50.3.me.2.all.each.solution.overall.target.distance.max	_.circularPointsAiming.50.3.cabea.e.11.all.each.solution.overall.target.distance	_.circularPointsAiming.50.3.cabea.e.11.all.each.solution.overall.target.distance.min	_.circularPointsAiming.50.3.cabea.e.11.all.each.solution.overall.target.distance.max	_.circularPointsAiming.50.3.cabea.cc.11.all.each.solution.overall.target.distance	_.circularPointsAiming.50.3.cabea.cc.11.all.each.solution.overall.target.distance.min	_.circularPointsAiming.50.3.cabea.cc.11.all.each.solution.overall.target.distance.max	_.circularPointsAiming.50.3.cabea.e.21.all.each.solution.overall.target.distance	_.circularPointsAiming.50.3.cabea.e.21.all.each.solution.overall.target.distance.min	_.circularPointsAiming.50.3.cabea.e.21.all.each.solution.overall.target.distance.max	_.circularPointsAiming.50.3.cabea.cc.21.all.each.solution.overall.target.distance	_.circularPointsAiming.50.3.cabea.cc.21.all.each.solution.overall.target.distance.min	_.circularPointsAiming.50.3.cabea.cc.21.all.each.solution.overall.target.distance.max
0.000e+00	7.640e+00	7.457e+00	7.825e+00	7.640e+00	7.457e+00	7.825e+00	7.640e+00	7.457e+00	7.825e+00	7.818e+00	7.623e+00	8.027e+00	7.647e+00	7.471e+00	7.794e+00	7.606e+00	7.449e+00	7.724e+00	7.749e+00	7.569e+00	7.948e+00	nan	nan	nan	nan	nan	nan
2.500e+02	7.184e+00	7.049e+00	7.393e+00	7.298e+00	7.166e+00	7.440e+00	7.731e+00	7.463e+00	8.310e+00	6.853e+00	6.528e+00	7.170e+00	7.433e+00	7.226e+00	7.579e+00	7.497e+00	7.392e+00	7.620e+00	7.582e+00	7.426e+00	7.755e+00	nan	nan	nan	7.397e+00	7.285e+00	7.540e+00
5.000e+02	6.587e+00	6.376e+00	6.720e+00	6.757e+00	6.597e+00	6.937e+00	7.085e+00	6.875e+00	7.302e+00	6.024e+00	5.815e+00	6.212e+00	7.309e+00	7.165e+00	7.377e+00	7.367e+00	7.291e+00	7.513e+00	7.369e+00	7.296e+00	7.523e+00	7.383e+00	7.221e+00	7.484e+00	nan	nan	nan
7.500e+02	6.021e+00	5.822e+00	6.129e+00	6.315e+00	6.134e+00	6.397e+00	6.696e+00	6.538e+00	6.934e+00	5.550e+00	5.372e+00	5.743e+00	7.163e+00	6.974e+00	7.313e+00	7.261e+00	7.134e+00	7.396e+00	7.218e+00	7.112e+00	7.329e+00	nan	nan	nan	7.313e+00	7.198e+00	7.400e+00
1.000e+03	5.553e+00	5.393e+00	5.730e+00	5.944e+00	5.730e+00	6.057e+00	6.440e+00	6.236e+00	6.649e+00	5.259e+00	5.126e+00	5.439e+00	7.037e+00	6.939e+00	7.192e+00	7.136e+00	7.065e+00	7.265e+00	7.031e+00	6.862e+00	7.137e+00	7.281e+00	7.198e+00	7.407e+00	7.270e+00	7.130e+00	7.373e+00
1.250e+03	5.189e+00	5.085e+00	5.296e+00	5.651e+00	5.391e+00	5.730e+00	6.271e+00	6.081e+00	6.422e+00	5.073e+00	4.959e+00	5.255e+00	6.971e+00	6.882e+00	7.096e+00	7.084e+00	6.838e+00	7.138e+00	6.842e+00	6.694e+00	6.931e+00	7.241e+00	7.128e+00	7.331e+00	7.230e+00	7.100e+00	7.331e+00
1.500e+03	4.993e+00	4.841e+00	5.091e+00	5.398e+00	5.211e+00	5.525e+00	6.095e+00	5.950e+00	6.249e+00	4.953e+00	4.823e+00	5.114e+00	6.932e+00	6.833e+00	7.032e+00	6.951e+00	6.768e+00	7.008e+00	6.676e+00	6.474e+00	6.810e+00	nan	nan	nan	nan	nan	nan
1.750e+03	4.811e+00	4.665e+00	4.997e+00	5.195e+00	5.057e+00	5.279e+00	6.025e+00	5.846e+00	6.125e+00	4.868e+00	4.730e+00	5.027e+00	6.887e+00	6.789e+00	6.998e+00	6.812e+00	6.600e+00	6.952e+00	6.451e+00	6.323e+00	6.588e+00	7.163e+00	7.071e+00	7.253e+00	7.162e+00	7.100e+00	7.240e+00
2.000e+03	4.675e+00	4.580e+00	4.797e+00	4.996e+00	4.850e+00	5.077e+00	5.905e+00	5.710e+00	6.055e+00	4.808e+00	4.658e+00	4.974e+00	6.887e+00	6.762e+00	6.970e+00	6.718e+00	6.534e+00	6.811e+00	6.317e+00	6.180e+00	6.407e+00	nan	nan	nan	7.139e+00	7.001e+00	7.209e+00
2.250e+03	4.586e+00	4.476e+00	4.716e+00	4.884e+00	4.735e+00	4.981e+00	5.746e+00	5.550e+00	5.945e+00	4.759e+00	4.586e+00	4.918e+00	6.835e+00	6.681e+00	6.903e+00	6.579e+00	6.427e+00	6.676e+00	6.189e+00	6.046e+00	6.326e+00	7.128e+00	7.040e+00	7.211e+00	7.070e+00	6.936e+00	7.132e+00
