evals.q.250.	_.mt.100.3.ga.best.fitness	_.mt.100.3.ga.best.fitness.min	_.mt.100.3.ga.best.fitness.max	_.mt.100.3.ga.33.best.fitness	_.mt.100.3.ga.33.best.fitness.min	_.mt.100.3.ga.33.best.fitness.max	_.mt.100.3.me.2.best.fitness	_.mt.100.3.me.2.best.fitness.min	_.mt.100.3.me.2.best.fitness.max	_.mt.100.3.cabea.e.11.best.fitness	_.mt.100.3.cabea.e.11.best.fitness.min	_.mt.100.3.cabea.e.11.best.fitness.max	_.mt.100.3.cabea.cc.11.best.fitness	_.mt.100.3.cabea.cc.11.best.fitness.min	_.mt.100.3.cabea.cc.11.best.fitness.max	_.mt.100.3.cabea.e.21.best.fitness	_.mt.100.3.cabea.e.21.best.fitness.min	_.mt.100.3.cabea.e.21.best.fitness.max	_.mt.100.3.cabea.cc.21.best.fitness	_.mt.100.3.cabea.cc.21.best.fitness.min	_.mt.100.3.cabea.cc.21.best.fitness.max
0.000e+00	8.000e-01	8.000e-01	8.100e-01	8.000e-01	8.000e-01	8.100e-01	8.000e-01	7.900e-01	8.100e-01	8.000e-01	8.000e-01	8.100e-01	8.100e-01	8.000e-01	8.200e-01	nan	nan	nan	nan	nan	nan
2.500e+02	7.700e-01	7.600e-01	7.800e-01	7.800e-01	7.700e-01	7.900e-01	7.900e-01	7.800e-01	8.000e-01	8.000e-01	7.900e-01	8.100e-01	8.000e-01	7.900e-01	8.100e-01	nan	nan	nan	7.900e-01	7.800e-01	8.000e-01
5.000e+02	7.100e-01	6.900e-01	7.300e-01	7.400e-01	7.200e-01	7.600e-01	7.800e-01	7.700e-01	7.900e-01	7.900e-01	7.900e-01	8.000e-01	7.900e-01	7.800e-01	8.000e-01	7.900e-01	7.800e-01	7.900e-01	nan	nan	nan
7.500e+02	6.400e-01	6.300e-01	6.600e-01	7.000e-01	6.800e-01	7.200e-01	7.700e-01	7.600e-01	7.800e-01	7.900e-01	7.800e-01	7.900e-01	7.800e-01	7.700e-01	7.900e-01	nan	nan	nan	7.900e-01	7.800e-01	8.000e-01
1.000e+03	5.800e-01	5.600e-01	6.000e-01	6.700e-01	6.400e-01	6.800e-01	7.600e-01	7.500e-01	7.700e-01	7.800e-01	7.700e-01	7.900e-01	7.700e-01	7.600e-01	7.800e-01	7.800e-01	7.800e-01	7.900e-01	7.900e-01	7.700e-01	8.000e-01
1.250e+03	5.300e-01	5.100e-01	5.500e-01	6.300e-01	6.100e-01	6.500e-01	7.500e-01	7.400e-01	7.600e-01	7.700e-01	7.600e-01	7.800e-01	7.600e-01	7.400e-01	7.700e-01	7.800e-01	7.700e-01	7.800e-01	7.800e-01	7.700e-01	7.900e-01
1.500e+03	4.800e-01	4.600e-01	5.000e-01	6.100e-01	5.700e-01	6.200e-01	7.400e-01	7.300e-01	7.500e-01	7.700e-01	7.500e-01	7.700e-01	7.400e-01	7.300e-01	7.600e-01	nan	nan	nan	nan	nan	nan
1.750e+03	4.400e-01	4.200e-01	4.600e-01	5.700e-01	5.400e-01	5.900e-01	7.300e-01	7.200e-01	7.400e-01	7.600e-01	7.500e-01	7.700e-01	7.300e-01	7.100e-01	7.400e-01	7.800e-01	7.700e-01	7.800e-01	7.700e-01	7.600e-01	7.800e-01
2.000e+03	4.100e-01	3.800e-01	4.200e-01	5.400e-01	5.200e-01	5.600e-01	7.200e-01	7.100e-01	7.300e-01	7.500e-01	7.400e-01	7.600e-01	7.200e-01	7.000e-01	7.300e-01	nan	nan	nan	7.700e-01	7.600e-01	7.800e-01
2.250e+03	3.700e-01	3.500e-01	3.900e-01	5.200e-01	4.900e-01	5.300e-01	7.100e-01	7.000e-01	7.200e-01	7.400e-01	7.200e-01	7.600e-01	7.000e-01	6.900e-01	7.200e-01	7.700e-01	7.700e-01	7.800e-01	7.700e-01	7.600e-01	7.700e-01
2.500e+03	3.500e-01	3.300e-01	3.700e-01	5.000e-01	4.700e-01	5.100e-01	7.100e-01	6.900e-01	7.100e-01	7.400e-01	7.200e-01	7.500e-01	6.900e-01	6.800e-01	7.000e-01	nan	nan	nan	nan	nan	nan
2.750e+03	3.200e-01	2.900e-01	3.400e-01	4.700e-01	4.500e-01	4.900e-01	7.000e-01	6.800e-01	7.100e-01	7.300e-01	7.100e-01	7.400e-01	6.900e-01	6.700e-01	6.900e-01	7.700e-01	7.700e-01	7.800e-01	7.700e-01	7.500e-01	7.700e-01
3.000e+03	2.900e-01	2.700e-01	3.100e-01	4.500e-01	4.200e-01	4.700e-01	6.900e-01	6.800e-01	7.000e-01	7.200e-01	7.100e-01	7.300e-01	6.700e-01	6.500e-01	6.800e-01	7.700e-01	7.600e-01	7.700e-01	7.700e-01	7.500e-01	7.700e-01
3.250e+03	2.700e-01	2.400e-01	2.900e-01	4.200e-01	4.000e-01	4.400e-01	6.800e-01	6.700e-01	6.900e-01	7.100e-01	7.000e-01	7.200e-01	6.600e-01	6.400e-01	6.700e-01	nan	nan	nan	7.600e-01	7.500e-01	7.700e-01
3.500e+03	2.500e-01	2.200e-01	2.700e-01	4.000e-01	3.800e-01	4.200e-01	6.700e-01	6.600e-01	6.800e-01	7.100e-01	6.900e-01	7.200e-01	6.400e-01	6.300e-01	6.600e-01	7.700e-01	7.600e-01	7.700e-01	7.600e-01	7.500e-01	7.700e-01
3.750e+03	2.300e-01	2.100e-01	2.500e-01	3.700e-01	3.500e-01	3.900e-01	6.600e-01	6.500e-01	6.800e-01	7.000e-01	6.800e-01	7.100e-01	6.300e-01	6.100e-01	6.500e-01	nan	nan	nan	nan	nan	nan
4.000e+03	2.100e-01	1.900e-01	2.300e-01	3.500e-01	3.300e-01	3.700e-01	6.600e-01	6.500e-01	6.700e-01	6.800e-01	6.700e-01	7.000e-01	6.200e-01	6.100e-01	6.400e-01	7.600e-01	7.500e-01	7.700e-01	7.500e-01	7.400e-01	7.600e-01
4.250e+03	2.000e-01	1.700e-01	2.100e-01	3.300e-01	3.200e-01	3.500e-01	6.500e-01	6.400e-01	6.600e-01	6.800e-01	6.700e-01	6.900e-01	6.100e-01	5.900e-01	6.300e-01	nan	nan	nan	7.500e-01	7.400e-01	7.600e-01
4.500e+03	1.800e-01	1.500e-01	1.900e-01	3.200e-01	3.000e-01	3.300e-01	6.400e-01	6.300e-01	6.500e-01	6.700e-01	6.500e-01	6.800e-01	6.000e-01	5.900e-01	6.200e-01	7.500e-01	7.500e-01	7.600e-01	7.400e-01	7.400e-01	7.500e-01
4.750e+03	1.600e-01	1.400e-01	1.800e-01	3.000e-01	2.800e-01	3.200e-01	6.400e-01	6.300e-01	6.500e-01	6.700e-01	6.400e-01	6.800e-01	5.900e-01	5.700e-01	6.000e-01	7.500e-01	7.400e-01	7.600e-01	nan	nan	nan
5.000e+03	1.500e-01	1.200e-01	1.600e-01	2.800e-01	2.600e-01	3.000e-01	6.300e-01	6.200e-01	6.400e-01	6.600e-01	6.400e-01	6.700e-01	5.700e-01	5.600e-01	5.900e-01	nan	nan	nan	7.400e-01	7.300e-01	7.500e-01
5.250e+03	1.300e-01	1.100e-01	1.400e-01	2.700e-01	2.500e-01	2.800e-01	6.200e-01	6.100e-01	6.300e-01	6.500e-01	6.400e-01	6.600e-01	5.600e-01	5.500e-01	5.800e-01	7.500e-01	7.400e-01	7.600e-01	7.400e-01	7.300e-01	7.500e-01
5.500e+03	1.200e-01	1.000e-01	1.300e-01	2.500e-01	2.400e-01	2.600e-01	6.100e-01	6.000e-01	6.200e-01	6.400e-01	6.300e-01	6.600e-01	5.500e-01	5.300e-01	5.700e-01	nan	nan	nan	7.300e-01	7.200e-01	7.400e-01
5.750e+03	1.000e-01	9.000e-02	1.200e-01	2.300e-01	2.100e-01	2.400e-01	6.000e-01	5.900e-01	6.200e-01	6.300e-01	6.200e-01	6.500e-01	5.400e-01	5.100e-01	5.600e-01	7.500e-01	7.400e-01	7.500e-01	nan	nan	nan
6.000e+03	9.000e-02	8.000e-02	1.000e-01	2.200e-01	2.000e-01	2.300e-01	6.000e-01	5.900e-01	6.100e-01	6.300e-01	6.100e-01	6.500e-01	5.300e-01	5.000e-01	5.500e-01	nan	nan	nan	7.300e-01	7.200e-01	7.400e-01
6.250e+03	8.000e-02	7.000e-02	1.000e-01	2.000e-01	1.900e-01	2.200e-01	5.900e-01	5.800e-01	6.100e-01	6.200e-01	6.100e-01	6.300e-01	5.100e-01	5.000e-01	5.300e-01	7.400e-01	7.300e-01	7.500e-01	7.200e-01	7.100e-01	7.300e-01
6.500e+03	7.000e-02	6.000e-02	9.000e-02	1.900e-01	1.700e-01	2.100e-01	5.900e-01	5.700e-01	6.100e-01	6.100e-01	6.000e-01	6.200e-01	5.100e-01	4.800e-01	5.200e-01	7.400e-01	7.300e-01	7.500e-01	7.200e-01	7.000e-01	7.300e-01
