evals.q.250.	_.mt.100.3.ga.all.each.solution.overall.target.distance	_.mt.100.3.ga.all.each.solution.overall.target.distance.min	_.mt.100.3.ga.all.each.solution.overall.target.distance.max	_.mt.100.3.ga.33.all.each.solution.overall.target.distance	_.mt.100.3.ga.33.all.each.solution.overall.target.distance.min	_.mt.100.3.ga.33.all.each.solution.overall.target.distance.max	_.mt.100.3.me.2.all.each.solution.overall.target.distance	_.mt.100.3.me.2.all.each.solution.overall.target.distance.min	_.mt.100.3.me.2.all.each.solution.overall.target.distance.max	_.mt.100.3.cabea.e.11.all.each.solution.overall.target.distance	_.mt.100.3.cabea.e.11.all.each.solution.overall.target.distance.min	_.mt.100.3.cabea.e.11.all.each.solution.overall.target.distance.max	_.mt.100.3.cabea.cc.11.all.each.solution.overall.target.distance	_.mt.100.3.cabea.cc.11.all.each.solution.overall.target.distance.min	_.mt.100.3.cabea.cc.11.all.each.solution.overall.target.distance.max	_.mt.100.3.cabea.e.21.all.each.solution.overall.target.distance	_.mt.100.3.cabea.e.21.all.each.solution.overall.target.distance.min	_.mt.100.3.cabea.e.21.all.each.solution.overall.target.distance.max	_.mt.100.3.cabea.cc.21.all.each.solution.overall.target.distance	_.mt.100.3.cabea.cc.21.all.each.solution.overall.target.distance.min	_.mt.100.3.cabea.cc.21.all.each.solution.overall.target.distance.max
0.000e+00	8.200e-01	8.100e-01	8.233e-01	8.200e-01	8.100e-01	8.233e-01	8.167e-01	8.100e-01	8.233e-01	8.167e-01	8.100e-01	8.233e-01	8.233e-01	8.167e-01	8.300e-01	nan	nan	nan	nan	nan	nan
2.500e+02	7.867e-01	7.767e-01	7.967e-01	7.967e-01	7.833e-01	8.033e-01	8.100e-01	8.033e-01	8.167e-01	8.133e-01	8.067e-01	8.167e-01	8.133e-01	8.067e-01	8.233e-01	nan	nan	nan	8.033e-01	7.967e-01	8.100e-01
5.000e+02	7.433e-01	7.300e-01	7.567e-01	7.700e-01	7.567e-01	7.800e-01	8.000e-01	7.900e-01	8.067e-01	8.033e-01	8.000e-01	8.100e-01	8.033e-01	8.000e-01	8.100e-01	8.000e-01	7.933e-01	8.033e-01	nan	nan	nan
7.500e+02	7.100e-01	7.000e-01	7.267e-01	7.467e-01	7.367e-01	7.700e-01	7.900e-01	7.800e-01	8.000e-01	8.000e-01	7.933e-01	8.033e-01	7.933e-01	7.867e-01	8.000e-01	nan	nan	nan	8.000e-01	7.933e-01	8.067e-01
1.000e+03	6.900e-01	6.800e-01	7.033e-01	7.367e-01	7.233e-01	7.600e-01	7.800e-01	7.700e-01	7.900e-01	7.933e-01	7.833e-01	7.967e-01	7.833e-01	7.733e-01	7.900e-01	7.967e-01	7.933e-01	8.000e-01	8.000e-01	7.933e-01	8.033e-01
1.250e+03	6.733e-01	6.633e-01	6.867e-01	7.300e-01	7.167e-01	7.533e-01	7.733e-01	7.600e-01	7.833e-01	7.833e-01	7.767e-01	7.900e-01	7.733e-01	7.633e-01	7.800e-01	7.933e-01	7.867e-01	7.967e-01	7.933e-01	7.867e-01	7.967e-01
1.500e+03	6.533e-01	6.433e-01	6.667e-01	7.167e-01	7.033e-01	7.333e-01	7.667e-01	7.500e-01	7.767e-01	7.800e-01	7.733e-01	7.867e-01	7.600e-01	7.500e-01	7.700e-01	nan	nan	nan	nan	nan	nan
1.750e+03	6.367e-01	6.233e-01	6.500e-01	7.033e-01	6.900e-01	7.200e-01	7.567e-01	7.400e-01	7.667e-01	7.733e-01	7.667e-01	7.800e-01	7.433e-01	7.367e-01	7.567e-01	7.900e-01	7.833e-01	7.933e-01	7.867e-01	7.833e-01	7.900e-01
2.000e+03	6.200e-01	6.067e-01	6.333e-01	6.900e-01	6.800e-01	7.067e-01	7.500e-01	7.333e-01	7.567e-01	7.633e-01	7.567e-01	7.733e-01	7.367e-01	7.300e-01	7.467e-01	nan	nan	nan	7.833e-01	7.800e-01	7.900e-01
2.250e+03	6.067e-01	5.900e-01	6.167e-01	6.800e-01	6.700e-01	6.900e-01	7.433e-01	7.267e-01	7.533e-01	7.567e-01	7.467e-01	7.667e-01	7.267e-01	7.167e-01	7.367e-01	7.833e-01	7.800e-01	7.900e-01	7.833e-01	7.767e-01	7.867e-01
2.500e+03	5.933e-01	5.767e-01	6.067e-01	6.700e-01	6.567e-01	6.800e-01	7.333e-01	7.233e-01	7.433e-01	7.467e-01	7.400e-01	7.567e-01	7.133e-01	7.067e-01	7.233e-01	nan	nan	nan	nan	nan	nan
2.750e+03	5.800e-01	5.667e-01	5.933e-01	6.600e-01	6.500e-01	6.700e-01	7.267e-01	7.133e-01	7.400e-01	7.400e-01	7.333e-01	7.500e-01	7.067e-01	6.967e-01	7.167e-01	7.800e-01	7.767e-01	7.867e-01	7.767e-01	7.700e-01	7.833e-01
3.000e+03	5.700e-01	5.567e-01	5.800e-01	6.500e-01	6.400e-01	6.633e-01	7.200e-01	7.067e-01	7.300e-01	7.333e-01	7.300e-01	7.400e-01	6.967e-01	6.833e-01	7.067e-01	7.800e-01	7.733e-01	7.833e-01	7.767e-01	7.700e-01	7.800e-01
3.250e+03	5.633e-01	5.500e-01	5.700e-01	6.400e-01	6.267e-01	6.533e-01	7.133e-01	7.000e-01	7.300e-01	7.267e-01	7.200e-01	7.367e-01	6.867e-01	6.733e-01	6.967e-01	nan	nan	nan	7.733e-01	7.700e-01	7.767e-01
3.500e+03	5.500e-01	5.367e-01	5.633e-01	6.267e-01	6.167e-01	6.400e-01	7.067e-01	6.933e-01	7.200e-01	7.200e-01	7.133e-01	7.300e-01	6.800e-01	6.633e-01	6.867e-01	7.733e-01	7.700e-01	7.800e-01	7.700e-01	7.633e-01	7.733e-01
3.750e+03	5.433e-01	5.300e-01	5.533e-01	6.167e-01	6.033e-01	6.267e-01	7.000e-01	6.833e-01	7.200e-01	7.133e-01	7.033e-01	7.200e-01	6.667e-01	6.533e-01	6.767e-01	nan	nan	nan	nan	nan	nan
