_.mt.25.3.cabea.cc.11	_.mt.25.3.cabea.e.21	_.mt.25.3.cabea.e.11	_.mt.25.3.cabea.cc.21	_.mt.25.3.ga	_.mt.25.3.ga.33	_.mt.25.3.me.2
0.000e+00	4.000e-02	0.000e+00	0.000e+00	0.000e+00	0.000e+00	1.200e-01
0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	8.000e-02
0.000e+00	4.000e-02	0.000e+00	0.000e+00	0.000e+00	0.000e+00	1.200e-01
0.000e+00	4.000e-02	0.000e+00	0.000e+00	0.000e+00	0.000e+00	8.000e-02
0.000e+00	4.000e-02	0.000e+00	0.000e+00	0.000e+00	0.000e+00	4.000e-02
0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	8.000e-02
0.000e+00	4.000e-02	0.000e+00	0.000e+00	0.000e+00	0.000e+00	8.000e-02
0.000e+00	4.000e-02	0.000e+00	0.000e+00	0.000e+00	0.000e+00	8.000e-02
0.000e+00	4.000e-02	0.000e+00	0.000e+00	0.000e+00	0.000e+00	4.000e-02
0.000e+00	4.000e-02	0.000e+00	0.000e+00	0.000e+00	0.000e+00	1.200e-01
0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	8.000e-02
0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	8.000e-02
0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	1.200e-01
0.000e+00	4.000e-02	0.000e+00	0.000e+00	0.000e+00	0.000e+00	8.000e-02
0.000e+00	4.000e-02	0.000e+00	0.000e+00	0.000e+00	0.000e+00	1.200e-01
0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	8.000e-02
0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	8.000e-02
0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	1.200e-01
0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	1.200e-01
0.000e+00	4.000e-02	0.000e+00	0.000e+00	0.000e+00	0.000e+00	8.000e-02
0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	1.200e-01
0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	8.000e-02
0.000e+00	4.000e-02	0.000e+00	0.000e+00	0.000e+00	0.000e+00	8.000e-02
0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	1.200e-01
0.000e+00	4.000e-02	0.000e+00	0.000e+00	0.000e+00	0.000e+00	8.000e-02
0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	1.200e-01
0.000e+00	4.000e-02	0.000e+00	0.000e+00	0.000e+00	0.000e+00	8.000e-02
0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	1.200e-01
0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	8.000e-02
0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	8.000e-02
