_.mt.25.3.cabea.cc.11	_.mt.25.3.cabea.e.21	_.mt.25.3.cabea.e.11	_.mt.25.3.cabea.cc.21	_.mt.25.3.ga	_.mt.25.3.ga.33	_.mt.25.3.me.2
4.000e-02	8.000e-02	0.000e+00	0.000e+00	4.267e-01	4.267e-01	2.000e-01
0.000e+00	5.333e-02	0.000e+00	1.333e-02	4.267e-01	4.267e-01	3.733e-01
2.133e-01	4.000e-02	2.133e-01	1.333e-02	4.267e-01	4.267e-01	2.800e-01
0.000e+00	6.667e-02	0.000e+00	1.333e-02	4.267e-01	4.267e-01	2.800e-01
0.000e+00	5.333e-02	0.000e+00	1.333e-02	4.267e-01	4.267e-01	2.533e-01
0.000e+00	1.333e-02	0.000e+00	0.000e+00	4.267e-01	4.267e-01	2.667e-01
0.000e+00	5.333e-02	0.000e+00	2.667e-02	4.267e-01	4.267e-01	1.600e-01
1.333e-02	4.000e-02	0.000e+00	0.000e+00	4.267e-01	4.267e-01	3.200e-01
0.000e+00	5.333e-02	0.000e+00	0.000e+00	4.267e-01	4.267e-01	2.533e-01
2.133e-01	5.333e-02	0.000e+00	1.333e-02	4.267e-01	4.267e-01	2.267e-01
0.000e+00	5.333e-02	0.000e+00	0.000e+00	4.267e-01	4.267e-01	2.267e-01
0.000e+00	5.333e-02	0.000e+00	0.000e+00	4.267e-01	4.267e-01	1.600e-01
2.133e-01	5.333e-02	2.133e-01	0.000e+00	4.267e-01	4.267e-01	1.600e-01
0.000e+00	4.000e-02	0.000e+00	2.667e-02	4.267e-01	4.267e-01	2.133e-01
0.000e+00	6.667e-02	0.000e+00	0.000e+00	4.267e-01	4.267e-01	1.333e-01
0.000e+00	5.333e-02	0.000e+00	0.000e+00	4.267e-01	4.267e-01	2.533e-01
2.133e-01	4.000e-02	0.000e+00	0.000e+00	4.267e-01	4.267e-01	3.067e-01
0.000e+00	1.333e-02	0.000e+00	1.333e-02	4.267e-01	4.267e-01	2.000e-01
0.000e+00	2.667e-02	2.133e-01	1.333e-02	4.267e-01	4.267e-01	2.800e-01
0.000e+00	5.333e-02	0.000e+00	1.333e-02	4.267e-01	4.267e-01	2.267e-01
2.133e-01	0.000e+00	0.000e+00	1.333e-02	4.267e-01	4.267e-01	2.533e-01
0.000e+00	0.000e+00	0.000e+00	1.333e-02	4.267e-01	4.267e-01	2.933e-01
0.000e+00	4.000e-02	0.000e+00	2.667e-02	4.267e-01	4.267e-01	1.600e-01
0.000e+00	5.333e-02	0.000e+00	0.000e+00	4.267e-01	4.267e-01	1.733e-01
0.000e+00	5.333e-02	0.000e+00	0.000e+00	4.267e-01	4.267e-01	1.200e-01
2.133e-01	6.667e-02	0.000e+00	4.000e-02	4.267e-01	4.267e-01	3.600e-01
0.000e+00	5.333e-02	0.000e+00	0.000e+00	4.267e-01	4.267e-01	2.267e-01
0.000e+00	2.667e-02	0.000e+00	0.000e+00	4.267e-01	4.267e-01	2.800e-01
0.000e+00	4.000e-02	0.000e+00	0.000e+00	4.267e-01	4.267e-01	2.667e-01
0.000e+00	2.667e-02	0.000e+00	1.333e-02	4.267e-01	4.267e-01	1.600e-01
