_.mt2mo.circularPointsAiming.10.2.nsga2	_.mt2mo.circularPointsAiming.10.2.cabea.cc.11	_.mt2mo.circularPointsAiming.10.2.cabea.e.21	_.mt2mo.circularPointsAiming.10.2.cabea.e.11	_.mt2mo.circularPointsAiming.10.2.cabea.cc.21	_.mt2mo.circularPointsAiming.10.2.ga	_.mt2mo.circularPointsAiming.10.2.ga.33	_.mt2mo.circularPointsAiming.10.2.me.2	_.mt2mo.circularPointsAiming.25.2.nsga2	_.mt2mo.circularPointsAiming.25.2.cabea.cc.11	_.mt2mo.circularPointsAiming.25.2.cabea.e.21	_.mt2mo.circularPointsAiming.25.2.cabea.e.11	_.mt2mo.circularPointsAiming.25.2.cabea.cc.21	_.mt2mo.circularPointsAiming.25.2.ga	_.mt2mo.circularPointsAiming.25.2.ga.33	_.mt2mo.circularPointsAiming.25.2.me.2	_.mt2mo.circularPointsAiming.50.2.nsga2	_.mt2mo.circularPointsAiming.50.2.cabea.cc.11	_.mt2mo.circularPointsAiming.50.2.cabea.e.21	_.mt2mo.circularPointsAiming.50.2.cabea.e.11	_.mt2mo.circularPointsAiming.50.2.cabea.cc.21	_.mt2mo.circularPointsAiming.50.2.ga	_.mt2mo.circularPointsAiming.50.2.ga.33	_.mt2mo.circularPointsAiming.50.2.me.2
8.746e+00	3.425e+00	4.581e+00	3.747e+00	4.066e+00	8.597e-01	7.165e-01	3.913e+00	5.623e+00	2.722e+00	3.266e+00	2.202e+00	3.900e+00	6.702e-01	7.981e-01	1.967e+00	8.235e+00	2.215e+00	4.174e+00	3.577e+00	4.368e+00	1.481e+00	1.439e+00	4.989e+00
8.679e+00	3.584e+00	4.507e+00	3.957e+00	3.899e+00	1.097e+00	1.055e+00	4.108e+00	5.629e+00	3.069e+00	3.077e+00	2.405e+00	3.584e+00	1.224e+00	1.168e+00	1.205e+00	8.006e+00	3.035e+00	3.542e+00	3.218e+00	2.956e+00	1.347e+00	1.749e+00	7.759e+00
9.142e+00	3.629e+00	4.175e+00	3.718e+00	4.928e+00	1.322e+00	1.255e+00	4.316e+00	5.473e+00	2.912e+00	2.310e+00	2.155e+00	2.921e+00	4.653e-01	7.046e-01	2.280e+00	7.677e+00	3.579e+00	0.000e+00	2.706e+00	2.503e+00	1.281e+00	1.283e+00	4.661e+00
9.069e+00	4.069e+00	3.868e+00	4.665e+00	4.116e+00	9.761e-01	8.540e-01	4.117e+00	5.657e+00	1.966e+00	2.697e+00	3.570e+00	3.627e+00	8.480e-01	5.793e-01	2.484e+00	7.481e+00	3.821e+00	8.864e-01	2.604e+00	1.470e+00	7.964e-01	1.582e+00	2.554e+00
8.912e+00	3.751e+00	4.080e+00	4.162e+00	4.053e+00	8.903e-01	8.808e-01	3.703e+00	5.897e+00	2.230e+00	2.715e+00	2.245e+00	2.817e+00	1.458e+00	6.917e-01	2.965e+00	6.464e+00	2.578e+00	5.196e+00	4.044e+00	3.410e+00	1.408e+00	1.513e+00	2.097e+00
9.021e+00	3.219e+00	3.685e+00	3.915e+00	4.252e+00	1.595e+00	1.548e+00	4.022e+00	5.616e+00	2.820e+00	2.096e+00	2.589e+00	2.881e+00	1.430e+00	1.123e+00	2.539e+00	8.188e+00	2.220e+00	4.110e+00	4.496e+00	2.413e+00	1.439e+00	1.210e+00	6.891e+00
8.910e+00	3.951e+00	4.369e+00	3.366e+00	3.755e+00	1.455e+00	8.250e-01	5.735e+00	6.156e+00	2.223e+00	2.973e+00	2.762e+00	3.071e+00	6.488e-01	9.359e-01	3.254e+00	7.271e+00	3.635e+00	4.333e+00	2.487e+00	4.839e+00	1.994e+00	1.813e+00	3.129e+00
9.551e+00	3.244e+00	4.004e+00	3.385e+00	3.251e+00	1.156e+00	9.252e-01	4.257e+00	6.277e+00	3.402e+00	2.262e+00	2.826e+00	3.320e+00	7.146e-01	9.868e-01	1.975e+00	8.027e+00	3.326e+00	5.400e+00	2.760e+00	2.841e+00	1.866e+00	1.806e+00	3.842e+00
8.968e+00	3.341e+00	4.078e+00	3.670e+00	4.369e+00	1.468e+00	1.470e+00	3.193e+00	6.127e+00	1.811e+00	3.253e+00	3.122e+00	3.507e+00	6.301e-01	8.682e-01	2.459e+00	7.093e+00	3.096e+00	3.026e+00	4.758e+00	3.998e+00	1.394e+00	1.636e+00	3.418e+00
9.580e+00	3.337e+00	4.663e+00	4.445e+00	3.706e+00	8.604e-01	1.023e+00	4.782e+00	5.776e+00	2.540e+00	2.906e+00	3.051e+00	2.570e+00	4.983e-01	7.400e-01	1.747e+00	6.966e+00	2.631e+00	5.634e+00	4.810e+00	2.287e+00	1.423e+00	1.468e+00	5.458e+00
