_.moIOneMax.25.nsga2	_.moIOneMax.25.cabea.cc.11	_.moIOneMax.25.cabea.e.21	_.moIOneMax.25.cabea.e.11	_.moIOneMax.25.cabea.cc.21	_.moIOneMax.25.ga	_.moIOneMax.25.ga.33	_.moIOneMax.25.me.2	_.mt2mo.mmIOneMax.25.2.nsga2	_.mt2mo.mmIOneMax.25.2.cabea.cc.11	_.mt2mo.mmIOneMax.25.2.cabea.e.21	_.mt2mo.mmIOneMax.25.2.cabea.e.11	_.mt2mo.mmIOneMax.25.2.cabea.cc.21	_.mt2mo.mmIOneMax.25.2.ga	_.mt2mo.mmIOneMax.25.2.ga.33	_.mt2mo.mmIOneMax.25.2.me.2	_.moIOneMax.100.nsga2	_.moIOneMax.100.cabea.cc.11	_.moIOneMax.100.cabea.e.21	_.moIOneMax.100.cabea.e.11	_.moIOneMax.100.cabea.cc.21	_.moIOneMax.100.ga	_.moIOneMax.100.ga.33	_.moIOneMax.100.me.2	_.mt2mo.mmIOneMax.100.2.nsga2	_.mt2mo.mmIOneMax.100.2.cabea.cc.11	_.mt2mo.mmIOneMax.100.2.cabea.e.21	_.mt2mo.mmIOneMax.100.2.cabea.e.11	_.mt2mo.mmIOneMax.100.2.cabea.cc.21	_.mt2mo.mmIOneMax.100.2.ga	_.mt2mo.mmIOneMax.100.2.ga.33	_.mt2mo.mmIOneMax.100.2.me.2	_.moIOneMax.250.nsga2	_.moIOneMax.250.cabea.cc.11	_.moIOneMax.250.cabea.e.21	_.moIOneMax.250.cabea.e.11	_.moIOneMax.250.cabea.cc.21	_.moIOneMax.250.ga	_.moIOneMax.250.ga.33	_.moIOneMax.250.me.2	_.mt2mo.mmIOneMax.250.2.nsga2	_.mt2mo.mmIOneMax.250.2.cabea.cc.11	_.mt2mo.mmIOneMax.250.2.cabea.e.21	_.mt2mo.mmIOneMax.250.2.cabea.e.11	_.mt2mo.mmIOneMax.250.2.cabea.cc.21	_.mt2mo.mmIOneMax.250.2.ga	_.mt2mo.mmIOneMax.250.2.ga.33	_.mt2mo.mmIOneMax.250.2.me.2
5.000e-01	2.200e-01	2.800e-01	2.000e-01	3.088e-01	8.000e-02	6.000e-02	2.304e-01	3.744e-01	1.872e-01	1.504e-01	1.872e-01	1.312e-01	2.080e-02	4.160e-02	8.400e-02	3.600e-01	8.500e-02	1.062e-01	1.353e-01	1.200e-01	2.000e-02	1.500e-02	1.157e-01	1.885e-01	5.420e-02	2.450e-02	7.985e-02	4.535e-02	1.000e-02	1.000e-02	3.160e-02	2.193e-01	4.662e-02	5.238e-02	5.022e-02	4.269e-02	1.600e-02	6.000e-03	2.899e-02	9.000e-02	2.134e-02	1.032e-02	3.025e-02	1.278e-02	2.000e-03	1.984e-03	2.064e-02
4.800e-01	2.200e-01	2.400e-01	2.000e-01	2.400e-01	1.400e-01	6.000e-02	2.488e-01	3.952e-01	2.288e-01	1.488e-01	1.664e-01	1.712e-01	4.160e-02	2.080e-02	6.080e-02	3.794e-01	9.785e-02	1.029e-01	1.005e-01	1.032e-01	3.000e-02	1.500e-02	5.630e-02	1.936e-01	4.900e-02	2.630e-02	9.020e-02	5.020e-02	1.500e-02	1.000e-02	4.125e-02	2.153e-01	3.695e-02	3.502e-02	5.046e-02	5.231e-02	1.400e-02	6.000e-03	3.942e-02	9.200e-02	3.126e-02	1.282e-02	3.212e-02	2.277e-02	4.000e-03	3.984e-03	1.409e-02
4.800e-01	2.600e-01	2.600e-01	2.200e-01	2.800e-01	1.200e-01	1.200e-01	2.264e-01	3.744e-01	1.872e-01	1.392e-01	1.664e-01	1.432e-01	4.160e-02	4.160e-02	8.880e-02	3.250e-01	7.500e-02	9.620e-02	9.850e-02	1.058e-01	5.000e-02	2.000e-02	1.137e-01	2.002e-01	6.625e-02	3.390e-02	5.180e-02	3.075e-02	1.000e-02	5.000e-03	3.460e-02	2.260e-01	4.829e-02	4.514e-02	6.322e-02	6.115e-02	1.000e-02	2.000e-03	3.568e-02	7.714e-02	2.367e-02	1.270e-02	2.016e-02	1.599e-02	2.000e-03	2.000e-03	5.656e-03
5.000e-01	1.800e-01	2.400e-01	1.600e-01	2.400e-01	2.000e-02	8.000e-02	2.040e-01	4.160e-01	2.288e-01	1.624e-01	1.456e-01	1.752e-01	2.080e-02	4.160e-02	6.720e-02	3.150e-01	8.500e-02	5.770e-02	1.057e-01	1.339e-01	3.500e-02	5.000e-03	2.000e-02	2.000e-01	6.485e-02	2.890e-02	6.100e-02	2.510e-02	5.000e-03	0.000e+00	2.290e-02	2.120e-01	3.992e-02	5.184e-02	4.314e-02	6.661e-02	1.400e-02	4.000e-03	1.239e-02	9.151e-02	3.367e-02	1.133e-02	2.560e-02	2.285e-02	2.000e-03	1.968e-03	6.960e-03
5.000e-01	2.200e-01	2.888e-01	2.600e-01	2.600e-01	8.000e-02	6.000e-02	2.920e-01	3.536e-01	1.664e-01	1.504e-01	1.872e-01	1.376e-01	6.240e-02	2.080e-02	9.600e-02	3.750e-01	9.295e-02	9.580e-02	1.160e-01	9.635e-02	2.000e-02	3.500e-02	6.380e-02	1.650e-01	6.660e-02	2.825e-02	7.415e-02	3.730e-02	5.000e-03	1.000e-02	3.835e-02	2.259e-01	5.228e-02	6.534e-02	6.279e-02	5.965e-02	2.200e-02	8.000e-03	0.000e+00	6.972e-02	2.834e-02	8.912e-03	1.466e-02	1.530e-02	4.000e-03	3.968e-03	1.070e-02
4.800e-01	1.600e-01	2.512e-01	2.200e-01	2.200e-01	1.000e-01	8.000e-02	2.592e-01	4.160e-01	1.872e-01	1.304e-01	1.456e-01	2.040e-01	4.160e-02	4.160e-02	1.520e-01	3.600e-01	8.500e-02	1.002e-01	1.052e-01	9.965e-02	4.500e-02	5.000e-03	1.036e-01	1.700e-01	8.665e-02	3.025e-02	4.815e-02	3.560e-02	1.000e-02	1.000e-02	4.115e-02	2.114e-01	5.097e-02	6.258e-02	3.774e-02	5.346e-02	1.400e-02	4.000e-03	5.632e-03	8.117e-02	3.677e-02	1.006e-02	2.800e-02	1.087e-02	4.000e-03	3.984e-03	2.699e-02
5.000e-01	2.600e-01	2.336e-01	2.000e-01	3.120e-01	8.000e-02	2.000e-02	2.216e-01	3.744e-01	1.248e-01	1.272e-01	2.000e-01	2.088e-01	4.160e-02	4.160e-02	1.400e-01	3.799e-01	9.000e-02	1.048e-01	1.056e-01	9.615e-02	2.000e-02	2.500e-02	9.225e-02	1.900e-01	6.440e-02	2.815e-02	6.705e-02	3.705e-02	1.500e-02	5.000e-03	2.925e-02	2.368e-01	5.994e-02	6.843e-02	3.977e-02	5.142e-02	1.200e-02	8.000e-03	2.739e-02	8.510e-02	2.391e-02	9.024e-03	3.336e-02	1.501e-02	4.000e-03	1.992e-03	2.495e-02
4.800e-01	1.800e-01	2.536e-01	2.200e-01	2.528e-01	1.000e-01	1.200e-01	1.824e-01	4.160e-01	1.664e-01	1.576e-01	1.872e-01	1.760e-01	4.160e-02	4.160e-02	1.064e-01	3.600e-01	7.500e-02	1.075e-01	8.560e-02	1.062e-01	2.500e-02	1.500e-02	7.400e-02	1.800e-01	8.505e-02	4.015e-02	5.190e-02	2.935e-02	1.000e-02	5.000e-03	2.180e-02	2.120e-01	5.186e-02	4.507e-02	5.079e-02	4.648e-02	1.600e-02	6.000e-03	3.782e-02	7.000e-02	3.398e-02	1.328e-02	2.981e-02	1.923e-02	4.000e-03	4.000e-03	8.696e-03
5.000e-01	2.000e-01	2.400e-01	2.400e-01	2.200e-01	8.000e-02	6.000e-02	2.600e-01	4.160e-01	1.248e-01	1.808e-01	1.456e-01	1.600e-01	6.240e-02	4.160e-02	1.104e-01	3.750e-01	9.485e-02	8.855e-02	1.013e-01	1.054e-01	3.000e-02	1.500e-02	6.855e-02	1.950e-01	6.715e-02	2.665e-02	8.050e-02	4.105e-02	1.000e-02	1.000e-02	5.355e-02	2.400e-01	5.354e-02	5.238e-02	6.871e-02	5.918e-02	1.800e-02	1.200e-02	4.599e-02	8.630e-02	2.247e-02	1.758e-02	2.533e-02	1.769e-02	2.000e-03	4.000e-03	1.034e-02
4.800e-01	1.600e-01	2.536e-01	2.400e-01	2.000e-01	1.000e-01	4.000e-02	2.240e-01	3.536e-01	1.872e-01	1.576e-01	2.432e-01	1.744e-01	4.160e-02	4.160e-02	3.040e-02	3.500e-01	9.560e-02	1.072e-01	1.234e-01	8.700e-02	2.500e-02	3.000e-02	9.915e-02	1.650e-01	8.145e-02	3.735e-02	4.900e-02	3.805e-02	1.500e-02	5.000e-03	4.470e-02	2.180e-01	5.245e-02	4.154e-02	5.405e-02	4.263e-02	1.200e-02	8.000e-03	3.094e-02	8.510e-02	1.954e-02	5.880e-03	3.224e-02	1.469e-02	2.000e-03	3.968e-03	2.859e-02
