_.concrete.cabea.cc.11	_.concrete.cabea.e.21	_.concrete.cabea.e.11	_.concrete.cabea.cc.21	_.concrete.ga	_.energy.efficiency.cabea.cc.11	_.energy.efficiency.cabea.e.21	_.energy.efficiency.cabea.e.11	_.energy.efficiency.cabea.cc.21	_.energy.efficiency.ga	_.wine.cabea.cc.11	_.wine.cabea.e.21	_.wine.cabea.e.11	_.wine.cabea.cc.21	_.wine.ga
1.712e+02	1.861e+02	1.769e+02	2.193e+02	1.642e+02	1.272e+01	2.424e+01	2.336e+01	2.545e+01	1.431e+01	6.494e-01	7.181e-01	6.723e-01	6.696e-01	6.405e-01
1.848e+02	2.104e+02	1.655e+02	1.899e+02	9.106e+01	2.229e+01	3.246e+01	1.920e+01	2.442e+01	1.499e+01	6.926e-01	7.107e-01	7.181e-01	7.099e-01	6.188e-01
1.931e+02	1.926e+02	1.508e+02	2.004e+02	1.528e+02	1.657e+01	2.917e+01	3.338e+01	2.572e+01	3.081e+01	6.924e-01	7.522e-01	6.337e-01	6.675e-01	5.989e-01
1.686e+02	2.214e+02	1.557e+02	1.823e+02	1.010e+02	1.761e+01	1.523e+01	1.909e+01	2.922e+01	1.359e+01	6.522e-01	7.425e-01	7.165e-01	6.949e-01	6.002e-01
1.866e+02	2.306e+02	1.871e+02	2.138e+02	1.162e+02	2.536e+01	3.190e+01	2.230e+01	4.416e+01	1.067e+01	6.411e-01	7.250e-01	6.675e-01	7.005e-01	5.927e-01
1.788e+02	2.443e+02	1.887e+02	1.875e+02	1.067e+02	2.412e+01	3.357e+01	3.374e+01	1.886e+01	2.178e+01	6.815e-01	6.584e-01	7.228e-01	7.078e-01	6.334e-01
1.926e+02	2.156e+02	1.897e+02	1.871e+02	1.048e+02	2.378e+01	2.042e+01	2.364e+01	2.594e+01	1.684e+01	6.307e-01	7.098e-01	7.161e-01	6.846e-01	6.491e-01
1.899e+02	1.831e+02	1.895e+02	1.975e+02	8.211e+01	1.879e+01	2.641e+01	1.984e+01	2.739e+01	2.035e+01	6.843e-01	7.261e-01	6.207e-01	7.109e-01	6.649e-01
1.641e+02	1.924e+02	1.930e+02	2.214e+02	1.621e+02	1.712e+01	3.400e+01	2.387e+01	2.190e+01	1.739e+01	6.967e-01	7.219e-01	6.282e-01	6.949e-01	6.428e-01
1.943e+02	2.061e+02	1.830e+02	1.603e+02	8.178e+01	1.899e+01	4.101e+01	2.351e+01	3.578e+01	1.679e+01	6.093e-01	6.839e-01	6.422e-01	7.050e-01	6.354e-01
1.842e+02	1.978e+02	1.669e+02	2.080e+02	1.467e+02	2.521e+01	2.584e+01	2.267e+01	2.468e+01	1.148e+01	6.215e-01	7.026e-01	6.409e-01	7.109e-01	6.115e-01
1.808e+02	2.175e+02	1.045e+02	1.814e+02	1.372e+02	2.440e+01	4.087e+01	2.080e+01	3.413e+01	1.468e+01	6.633e-01	7.037e-01	7.123e-01	6.625e-01	6.354e-01
1.926e+02	1.990e+02	1.798e+02	1.938e+02	1.597e+02	2.653e+01	4.350e+01	2.656e+01	2.158e+01	2.784e+01	6.583e-01	7.015e-01	7.246e-01	7.391e-01	6.062e-01
1.347e+02	2.146e+02	2.214e+02	1.801e+02	1.341e+02	1.201e+01	3.333e+01	1.992e+01	2.379e+01	1.324e+01	6.684e-01	7.204e-01	6.691e-01	7.368e-01	6.344e-01
1.717e+02	2.094e+02	1.871e+02	1.836e+02	1.204e+02	2.483e+01	1.803e+01	2.522e+01	2.298e+01	1.644e+01	6.606e-01	7.087e-01	6.555e-01	7.638e-01	7.383e-01
1.558e+02	2.182e+02	2.035e+02	2.149e+02	2.012e+02	2.433e+01	4.908e+01	2.043e+01	2.453e+01	1.507e+01	7.072e-01	7.030e-01	6.659e-01	6.579e-01	6.818e-01
1.392e+02	2.741e+02	1.571e+02	1.741e+02	1.137e+02	1.619e+01	2.644e+01	2.776e+01	2.069e+01	1.102e+01	6.674e-01	6.622e-01	6.588e-01	6.651e-01	6.456e-01
1.579e+02	1.918e+02	1.919e+02	1.827e+02	1.104e+02	2.433e+01	2.588e+01	1.988e+01	2.781e+01	1.318e+01	6.365e-01	6.975e-01	6.304e-01	6.612e-01	8.308e-01
1.839e+02	2.218e+02	2.022e+02	2.214e+02	9.409e+01	2.532e+01	1.971e+01	2.082e+01	2.117e+01	4.459e+00	6.601e-01	6.809e-01	7.262e-01	7.730e-01	6.668e-01
1.518e+02	1.778e+02	1.888e+02	2.214e+02	9.879e+01	3.442e+01	2.303e+01	2.431e+01	3.362e+01	1.540e+01	6.436e-01	7.719e-01	7.260e-01	6.473e-01	6.370e-01
1.749e+02	2.052e+02	1.852e+02	1.919e+02	9.807e+01	2.592e+01	2.468e+01	2.803e+01	2.468e+01	1.081e+01	6.496e-01	6.771e-01	6.591e-01	6.792e-01	5.834e-01
1.241e+02	1.775e+02	1.976e+02	2.103e+02	1.164e+02	2.604e+01	5.423e+01	1.985e+01	6.621e+01	1.413e+01	6.509e-01	6.908e-01	6.360e-01	6.967e-01	6.347e-01
1.898e+02	2.107e+02	1.611e+02	2.369e+02	1.377e+02	1.784e+01	2.137e+01	2.290e+01	2.141e+01	1.463e+01	6.823e-01	7.695e-01	7.165e-01	7.455e-01	6.347e-01
1.938e+02	1.763e+02	1.951e+02	2.559e+02	1.051e+02	4.289e+01	4.158e+01	2.006e+01	3.128e+01	1.609e+01	6.763e-01	7.122e-01	7.289e-01	6.657e-01	6.280e-01
1.762e+02	2.215e+02	2.057e+02	2.214e+02	1.376e+02	3.670e+01	2.554e+01	3.401e+01	3.297e+01	2.087e+01	6.721e-01	6.925e-01	7.109e-01	7.860e-01	7.300e-01
1.570e+02	2.204e+02	1.879e+02	2.003e+02	7.978e+01	2.856e+01	2.748e+01	1.881e+01	3.054e+01	2.219e+01	6.587e-01	6.776e-01	6.868e-01	6.702e-01	6.176e-01
1.295e+02	2.087e+02	1.853e+02	1.672e+02	1.576e+02	2.443e+01	2.852e+01	1.527e+01	2.397e+01	2.084e+01	6.474e-01	7.171e-01	7.102e-01	7.100e-01	6.476e-01
1.714e+02	1.889e+02	1.949e+02	1.891e+02	1.539e+02	2.227e+01	2.444e+01	2.152e+01	2.444e+01	2.825e+01	6.350e-01	7.059e-01	6.879e-01	7.416e-01	6.392e-01
1.525e+02	2.156e+02	1.534e+02	1.664e+02	1.047e+02	1.480e+01	2.764e+01	2.535e+01	2.052e+01	3.293e+01	7.776e-01	7.865e-01	7.033e-01	6.931e-01	6.822e-01
1.680e+02	1.871e+02	1.789e+02	2.165e+02	8.054e+01	2.314e+01	2.638e+01	1.756e+01	2.133e+01	2.284e+01	6.702e-01	8.109e-01	6.524e-01	7.072e-01	6.019e-01
