evals.q.250.	_.concrete.ga.best.fitness	_.concrete.ga.best.fitness.min	_.concrete.ga.best.fitness.max	_.concrete.cabea.e.11.best.fitness	_.concrete.cabea.e.11.best.fitness.min	_.concrete.cabea.e.11.best.fitness.max	_.concrete.cabea.cc.11.best.fitness	_.concrete.cabea.cc.11.best.fitness.min	_.concrete.cabea.cc.11.best.fitness.max	_.concrete.cabea.e.21.best.fitness	_.concrete.cabea.e.21.best.fitness.min	_.concrete.cabea.e.21.best.fitness.max	_.concrete.cabea.cc.21.best.fitness	_.concrete.cabea.cc.21.best.fitness.min	_.concrete.cabea.cc.21.best.fitness.max	_.energy.efficiency.ga.best.fitness	_.energy.efficiency.ga.best.fitness.min	_.energy.efficiency.ga.best.fitness.max	_.energy.efficiency.cabea.e.11.best.fitness	_.energy.efficiency.cabea.e.11.best.fitness.min	_.energy.efficiency.cabea.e.11.best.fitness.max	_.energy.efficiency.cabea.cc.11.best.fitness	_.energy.efficiency.cabea.cc.11.best.fitness.min	_.energy.efficiency.cabea.cc.11.best.fitness.max	_.energy.efficiency.cabea.e.21.best.fitness	_.energy.efficiency.cabea.e.21.best.fitness.min	_.energy.efficiency.cabea.e.21.best.fitness.max	_.energy.efficiency.cabea.cc.21.best.fitness	_.energy.efficiency.cabea.cc.21.best.fitness.min	_.energy.efficiency.cabea.cc.21.best.fitness.max	_.wine.ga.best.fitness	_.wine.ga.best.fitness.min	_.wine.ga.best.fitness.max	_.wine.cabea.e.11.best.fitness	_.wine.cabea.e.11.best.fitness.min	_.wine.cabea.e.11.best.fitness.max	_.wine.cabea.cc.11.best.fitness	_.wine.cabea.cc.11.best.fitness.min	_.wine.cabea.cc.11.best.fitness.max	_.wine.cabea.e.21.best.fitness	_.wine.cabea.e.21.best.fitness.min	_.wine.cabea.e.21.best.fitness.max	_.wine.cabea.cc.21.best.fitness	_.wine.cabea.cc.21.best.fitness.min	_.wine.cabea.cc.21.best.fitness.max
0.000e+00	6.026e+02	4.728e+02	7.673e+02	6.307e+02	4.395e+02	7.310e+02	7.420e+02	4.702e+02	8.998e+02	nan	nan	nan	nan	nan	nan	1.458e+02	1.134e+02	1.674e+02	1.083e+02	8.596e+01	1.325e+02	1.605e+02	1.096e+02	2.283e+02	nan	nan	nan	nan	nan	nan	1.404e+00	9.577e-01	1.919e+00	1.310e+00	9.577e-01	1.937e+00	1.837e+00	9.212e-01	2.575e+00	nan	nan	nan	nan	nan	nan
2.500e+02	4.691e+02	3.322e+02	6.026e+02	5.062e+02	3.400e+02	6.597e+02	5.130e+02	4.308e+02	7.274e+02	nan	nan	nan	3.765e+02	2.775e+02	4.704e+02	1.077e+02	8.978e+01	1.224e+02	9.267e+01	7.914e+01	1.083e+02	1.107e+02	1.048e+02	1.400e+02	nan	nan	nan	9.235e+01	6.358e+01	1.074e+02	9.722e-01	8.548e-01	1.175e+00	1.072e+00	9.115e-01	1.421e+00	1.323e+00	9.212e-01	1.972e+00	nan	nan	nan	9.385e-01	8.435e-01	1.069e+00
5.000e+02	2.997e+02	2.509e+02	3.763e+02	3.995e+02	3.056e+02	5.175e+02	3.899e+02	3.076e+02	4.702e+02	3.669e+02	2.848e+02	4.392e+02	nan	nan	nan	7.289e+01	4.891e+01	9.496e+01	8.596e+01	6.703e+01	1.030e+02	1.049e+02	7.952e+01	1.169e+02	9.686e+01	8.006e+01	1.066e+02	nan	nan	nan	8.384e-01	7.661e-01	9.120e-01	9.273e-01	9.026e-01	1.070e+00	1.006e+00	8.548e-01	1.317e+00	9.074e-01	7.959e-01	1.004e+00	nan	nan	nan
7.500e+02	2.676e+02	2.183e+02	3.112e+02	3.382e+02	2.726e+02	4.416e+02	3.322e+02	2.472e+02	4.300e+02	nan	nan	nan	3.251e+02	2.775e+02	4.490e+02	5.575e+01	3.262e+01	7.105e+01	7.680e+01	5.160e+01	1.018e+02	7.952e+01	5.144e+01	1.023e+02	nan	nan	nan	7.837e+01	6.358e+01	9.686e+01	7.882e-01	7.244e-01	8.320e-01	9.099e-01	8.760e-01	9.880e-01	9.572e-01	8.123e-01	1.213e+00	nan	nan	nan	9.212e-01	8.435e-01	1.014e+00
1.000e+03	2.503e+02	2.101e+02	2.676e+02	3.050e+02	2.628e+02	3.549e+02	3.076e+02	2.433e+02	3.917e+02	3.005e+02	2.730e+02	3.996e+02	2.792e+02	2.486e+02	3.800e+02	4.270e+01	2.740e+01	5.960e+01	6.679e+01	4.546e+01	9.267e+01	7.058e+01	4.912e+01	9.823e+01	8.520e+01	6.745e+01	1.010e+02	7.336e+01	6.298e+01	9.105e+01	7.347e-01	7.026e-01	8.078e-01	8.986e-01	8.091e-01	9.567e-01	8.605e-01	8.028e-01	1.029e+00	9.074e-01	7.838e-01	1.004e+00	9.074e-01	8.312e-01	1.013e+00
1.250e+03	2.234e+02	2.065e+02	2.537e+02	2.918e+02	2.594e+02	3.358e+02	2.790e+02	2.349e+02	3.322e+02	2.962e+02	2.485e+02	3.393e+02	2.776e+02	2.189e+02	3.745e+02	3.414e+01	2.417e+01	4.915e+01	6.057e+01	4.262e+01	8.596e+01	7.058e+01	4.445e+01	8.983e+01	7.334e+01	4.246e+01	8.370e+01	6.512e+01	4.609e+01	7.837e+01	7.111e-01	6.850e-01	7.655e-01	8.468e-01	7.877e-01	9.083e-01	8.378e-01	7.803e-01	9.596e-01	8.666e-01	7.838e-01	9.845e-01	8.885e-01	8.312e-01	9.503e-01
1.500e+03	2.128e+02	1.880e+02	2.451e+02	2.646e+02	2.286e+02	3.322e+02	2.565e+02	2.306e+02	3.264e+02	nan	nan	nan	nan	nan	nan	2.859e+01	2.077e+01	3.846e+01	5.286e+01	4.039e+01	8.417e+01	5.977e+01	4.258e+01	8.101e+01	nan	nan	nan	nan	nan	nan	7.044e-01	6.811e-01	7.642e-01	8.364e-01	7.875e-01	8.997e-01	8.093e-01	7.724e-01	8.983e-01	nan	nan	nan	nan	nan	nan
1.750e+03	1.979e+02	1.773e+02	2.262e+02	2.628e+02	2.242e+02	3.135e+02	2.565e+02	2.193e+02	2.803e+02	2.949e+02	2.469e+02	3.243e+02	2.754e+02	2.189e+02	2.943e+02	2.623e+01	2.075e+01	3.661e+01	4.822e+01	4.007e+01	7.547e+01	5.213e+01	3.228e+01	7.750e+01	6.745e+01	3.534e+01	8.273e+01	6.433e+01	4.349e+01	7.336e+01	6.909e-01	6.757e-01	7.621e-01	7.923e-01	7.800e-01	8.760e-01	7.953e-01	7.463e-01	8.381e-01	8.106e-01	7.522e-01	8.829e-01	8.885e-01	8.312e-01	9.385e-01
2.000e+03	1.923e+02	1.685e+02	2.212e+02	2.608e+02	2.214e+02	3.089e+02	2.560e+02	2.115e+02	2.792e+02	nan	nan	nan	2.754e+02	2.189e+02	2.943e+02	2.340e+01	1.920e+01	3.370e+01	4.743e+01	3.736e+01	6.065e+01	5.144e+01	2.826e+01	6.330e+01	nan	nan	nan	5.477e+01	3.987e+01	6.763e+01	6.841e-01	6.631e-01	7.381e-01	7.898e-01	7.599e-01	8.583e-01	7.841e-01	7.292e-01	8.199e-01	nan	nan	nan	8.670e-01	8.132e-01	9.212e-01
2.250e+03	1.870e+02	1.639e+02	2.036e+02	2.532e+02	2.208e+02	3.050e+02	2.545e+02	2.076e+02	2.792e+02	2.828e+02	2.469e+02	3.169e+02	2.754e+02	2.171e+02	2.915e+02	2.317e+01	1.699e+01	3.276e+01	4.203e+01	2.822e+01	5.313e+01	4.284e+01	2.826e+01	5.977e+01	6.076e+01	3.341e+01	7.846e+01	5.477e+01	3.987e+01	6.763e+01	6.833e-01	6.614e-01	7.198e-01	7.881e-01	7.553e-01	8.521e-01	7.653e-01	7.260e-01	8.123e-01	8.106e-01	7.522e-01	8.666e-01	8.415e-01	7.895e-01	8.864e-01
