_.keijzer6.cabea.cc.11	_.keijzer6.cabea.e.21	_.keijzer6.cabea.e.11	_.keijzer6.cabea.cc.21	_.keijzer6.ga	_.vladislavleva4.cabea.cc.11	_.vladislavleva4.cabea.e.21	_.vladislavleva4.cabea.e.11	_.vladislavleva4.cabea.cc.21	_.vladislavleva4.ga	_.nguyen7.cabea.cc.11	_.nguyen7.cabea.e.21	_.nguyen7.cabea.e.11	_.nguyen7.cabea.cc.21	_.nguyen7.ga
3.886e-03	9.447e-03	2.102e-03	3.440e-03	5.499e-04	4.162e-02	4.357e-02	4.227e-02	4.540e-02	3.727e-02	4.509e-03	2.895e-03	2.635e-03	6.968e-03	1.631e-03
3.225e-03	1.921e-04	5.549e-03	6.143e-03	1.972e-04	4.313e-02	4.329e-02	4.113e-02	4.312e-02	3.186e-02	1.262e-03	2.447e-03	2.678e-03	3.389e-03	1.124e-03
1.100e-03	2.732e-03	3.535e-03	3.995e-03	8.054e-03	4.345e-02	4.956e-02	4.177e-02	4.337e-02	4.039e-02	2.342e-03	2.553e-03	1.296e-03	1.179e-02	2.635e-03
8.624e-04	3.303e-03	1.019e-03	9.909e-03	3.095e-05	4.266e-02	4.355e-02	4.323e-02	4.348e-02	4.342e-02	1.231e-03	2.749e-03	6.484e-03	1.774e-02	7.689e-04
6.929e-04	4.504e-03	1.863e-03	2.058e-03	4.515e-04	4.040e-02	4.538e-02	4.125e-02	4.342e-02	3.829e-02	1.242e-03	3.262e-03	5.491e-03	1.275e-03	1.200e-03
9.693e-04	3.384e-03	6.501e-03	1.197e-02	3.970e-04	4.312e-02	4.538e-02	4.312e-02	4.965e-02	4.192e-02	8.640e-03	3.920e-03	2.435e-03	4.590e-03	9.748e-04
3.434e-03	3.950e-03	1.858e-03	4.587e-04	3.300e-03	4.300e-02	5.413e-02	4.418e-02	4.355e-02	3.628e-02	2.237e-03	7.305e-03	3.396e-03	1.815e-03	3.870e-32
2.269e-03	1.529e-03	2.707e-03	4.461e-03	8.095e-04	4.243e-02	4.689e-02	4.313e-02	4.538e-02	4.240e-02	1.511e-03	1.825e-03	2.379e-03	1.697e-03	1.283e-03
4.326e-04	4.251e-03	4.591e-03	2.816e-03	1.079e-03	4.282e-02	4.499e-02	4.510e-02	4.538e-02	4.034e-02	2.161e-03	5.824e-03	2.118e-03	2.931e-03	4.086e-03
7.543e-04	1.301e-02	7.530e-03	3.950e-03	6.606e-04	4.531e-02	4.442e-02	4.317e-02	4.634e-02	3.940e-02	1.671e-03	8.410e-04	8.687e-03	2.163e-03	3.697e-03
1.889e-03	9.286e-03	1.018e-03	2.554e-03	6.562e-04	3.962e-02	4.353e-02	4.290e-02	4.357e-02	3.617e-02	1.740e-03	1.931e-02	7.150e-03	8.787e-03	9.440e-04
2.893e-03	3.950e-03	1.976e-03	2.511e-03	2.319e-03	4.293e-02	4.476e-02	4.267e-02	5.019e-02	3.868e-02	4.095e-03	1.547e-03	2.305e-03	3.976e-03	1.135e-03
4.238e-05	1.301e-02	3.886e-03	3.731e-03	2.698e-03	4.274e-02	4.704e-02	4.186e-02	4.764e-02	4.163e-02	3.549e-03	2.419e-03	7.230e-03	7.863e-03	2.227e-04
5.487e-03	9.480e-03	3.683e-04	6.929e-03	2.574e-03	4.314e-02	4.315e-02	4.191e-02	4.365e-02	4.089e-02	4.979e-03	4.609e-03	2.719e-03	6.624e-03	6.246e-04
3.480e-03	9.099e-03	3.570e-03	4.326e-04	1.190e-04	4.095e-02	4.320e-02	4.255e-02	4.357e-02	4.125e-02	3.208e-03	2.607e-03	5.332e-03	7.504e-03	2.441e-05
3.673e-03	1.172e-02	2.110e-04	5.626e-03	2.591e-03	4.287e-02	4.513e-02	4.313e-02	4.912e-02	3.853e-02	2.700e-03	5.498e-03	2.869e-03	1.412e-03	4.902e-03
9.450e-04	9.254e-03	9.980e-04	7.410e-03	4.470e-04	4.258e-02	5.052e-02	4.386e-02	4.663e-02	4.312e-02	0.000e+00	1.007e-02	1.270e-03	1.306e-02	2.582e-03
6.989e-03	2.887e-03	3.670e-03	1.197e-02	3.098e-03	4.280e-02	4.396e-02	4.333e-02	4.583e-02	3.991e-02	1.825e-03	2.636e-02	2.656e-03	2.125e-02	1.133e-03
1.326e-03	9.761e-03	3.957e-03	2.927e-03	2.856e-03	4.138e-02	4.902e-02	4.189e-02	4.315e-02	4.161e-02	2.601e-03	9.939e-03	1.363e-03	2.222e-03	3.620e-04
3.995e-03	3.506e-03	7.751e-03	3.886e-03	2.774e-03	4.110e-02	4.276e-02	4.367e-02	4.440e-02	3.941e-02	5.215e-03	4.509e-03	2.160e-03	2.895e-03	3.534e-03
4.559e-03	2.205e-03	3.886e-03	3.886e-03	2.603e-05	4.248e-02	4.317e-02	4.245e-02	4.354e-02	4.017e-02	3.207e-03	3.127e-03	1.619e-03	3.932e-32	5.546e-04
3.384e-05	1.238e-02	1.818e-03	5.885e-04	2.751e-03	4.242e-02	4.119e-02	4.377e-02	4.345e-02	4.091e-02	1.835e-03	1.285e-02	3.870e-32	1.175e-03	3.534e-05
3.242e-03	7.902e-03	3.886e-03	2.814e-03	3.386e-05	3.946e-02	4.444e-02	4.168e-02	4.385e-02	3.983e-02	7.788e-04	1.008e-02	2.576e-03	1.987e-03	2.484e-03
1.817e-03	6.585e-03	6.309e-03	1.948e-04	1.598e-03	4.146e-02	4.608e-02	4.312e-02	4.419e-02	3.899e-02	4.055e-32	1.068e-03	1.825e-03	4.057e-03	2.475e-03
3.395e-03	1.771e-03	5.463e-03	3.017e-03	2.666e-03	3.871e-02	4.324e-02	4.317e-02	4.340e-02	3.563e-02	2.057e-03	1.420e-03	6.941e-03	2.663e-03	3.531e-04
2.600e-04	1.032e-03	4.000e-03	8.469e-03	1.374e-03	4.308e-02	4.917e-02	4.328e-02	4.403e-02	4.330e-02	3.001e-03	1.210e-03	1.183e-03	2.663e-03	1.873e-03
1.346e-04	1.107e-02	2.708e-04	6.865e-03	3.216e-03	4.315e-02	4.383e-02	4.511e-02	4.639e-02	3.767e-02	1.582e-03	4.940e-03	1.537e-03	1.248e-02	9.190e-03
7.878e-03	3.020e-03	2.887e-03	1.325e-03	4.832e-04	4.236e-02	4.538e-02	4.253e-02	5.070e-02	4.001e-02	3.591e-03	6.662e-03	4.117e-03	2.229e-03	1.127e-03
3.350e-03	9.761e-03	3.583e-03	1.255e-02	2.114e-04	4.315e-02	4.312e-02	4.260e-02	4.826e-02	3.383e-02	2.041e-03	7.490e-03	4.918e-32	1.823e-03	1.122e-03
3.886e-03	7.980e-03	5.167e-03	1.301e-02	6.394e-04	4.208e-02	4.524e-02	4.340e-02	4.345e-02	4.312e-02	4.214e-03	5.535e-03	1.241e-03	5.377e-03	1.054e-02
