evals.q.250.	_.keijzer6.ga.best.fitness	_.keijzer6.ga.best.fitness.min	_.keijzer6.ga.best.fitness.max	_.keijzer6.cabea.e.11.best.fitness	_.keijzer6.cabea.e.11.best.fitness.min	_.keijzer6.cabea.e.11.best.fitness.max	_.keijzer6.cabea.cc.11.best.fitness	_.keijzer6.cabea.cc.11.best.fitness.min	_.keijzer6.cabea.cc.11.best.fitness.max	_.keijzer6.cabea.e.21.best.fitness	_.keijzer6.cabea.e.21.best.fitness.min	_.keijzer6.cabea.e.21.best.fitness.max	_.keijzer6.cabea.cc.21.best.fitness	_.keijzer6.cabea.cc.21.best.fitness.min	_.keijzer6.cabea.cc.21.best.fitness.max	_.vladislavleva4.ga.best.fitness	_.vladislavleva4.ga.best.fitness.min	_.vladislavleva4.ga.best.fitness.max	_.vladislavleva4.cabea.e.11.best.fitness	_.vladislavleva4.cabea.e.11.best.fitness.min	_.vladislavleva4.cabea.e.11.best.fitness.max	_.vladislavleva4.cabea.cc.11.best.fitness	_.vladislavleva4.cabea.cc.11.best.fitness.min	_.vladislavleva4.cabea.cc.11.best.fitness.max	_.vladislavleva4.cabea.e.21.best.fitness	_.vladislavleva4.cabea.e.21.best.fitness.min	_.vladislavleva4.cabea.e.21.best.fitness.max	_.vladislavleva4.cabea.cc.21.best.fitness	_.vladislavleva4.cabea.cc.21.best.fitness.min	_.vladislavleva4.cabea.cc.21.best.fitness.max	_.nguyen7.ga.best.fitness	_.nguyen7.ga.best.fitness.min	_.nguyen7.ga.best.fitness.max	_.nguyen7.cabea.e.11.best.fitness	_.nguyen7.cabea.e.11.best.fitness.min	_.nguyen7.cabea.e.11.best.fitness.max	_.nguyen7.cabea.cc.11.best.fitness	_.nguyen7.cabea.cc.11.best.fitness.min	_.nguyen7.cabea.cc.11.best.fitness.max	_.nguyen7.cabea.e.21.best.fitness	_.nguyen7.cabea.e.21.best.fitness.min	_.nguyen7.cabea.e.21.best.fitness.max	_.nguyen7.cabea.cc.21.best.fitness	_.nguyen7.cabea.cc.21.best.fitness.min	_.nguyen7.cabea.cc.21.best.fitness.max
0.000e+00	2.138e-01	3.749e-02	2.750e-01	1.925e-01	5.738e-02	2.721e-01	2.884e-01	9.001e-02	2.890e-01	nan	nan	nan	nan	nan	nan	1.501e-01	1.227e-01	2.478e-01	1.317e-01	1.011e-01	1.712e-01	2.478e-01	1.716e-01	2.478e-01	nan	nan	nan	nan	nan	nan	2.799e-01	1.959e-01	3.451e-01	1.959e-01	1.563e-01	3.403e-01	3.451e-01	1.959e-01	5.665e-01	nan	nan	nan	nan	nan	nan
2.500e+02	3.636e-02	3.178e-02	6.808e-02	6.883e-02	3.460e-02	1.704e-01	2.211e-01	3.689e-02	2.884e-01	nan	nan	nan	3.460e-02	2.791e-02	5.634e-02	1.244e-01	8.997e-02	1.334e-01	1.073e-01	9.420e-02	1.560e-01	1.418e-01	1.011e-01	2.368e-01	nan	nan	nan	1.214e-01	8.209e-02	1.252e-01	1.335e-01	5.042e-02	1.959e-01	1.854e-01	1.349e-01	1.959e-01	1.959e-01	1.252e-01	2.517e-01	nan	nan	nan	1.289e-01	7.805e-02	1.735e-01
5.000e+02	2.207e-02	9.986e-03	3.460e-02	4.828e-02	3.460e-02	1.306e-01	3.841e-02	3.260e-02	1.925e-01	3.460e-02	2.037e-02	7.028e-02	nan	nan	nan	6.876e-02	5.124e-02	9.044e-02	9.819e-02	7.569e-02	1.252e-01	1.016e-01	7.267e-02	1.348e-01	1.005e-01	8.456e-02	1.252e-01	nan	nan	nan	6.229e-02	1.755e-02	1.042e-01	1.335e-01	7.021e-02	1.809e-01	1.335e-01	9.442e-02	1.959e-01	1.042e-01	6.229e-02	1.621e-01	nan	nan	nan
7.500e+02	1.096e-02	5.482e-03	1.770e-02	3.749e-02	3.458e-02	8.325e-02	3.460e-02	1.474e-02	1.005e-01	nan	nan	nan	3.460e-02	1.873e-02	3.489e-02	5.463e-02	4.538e-02	6.482e-02	9.353e-02	6.507e-02	1.114e-01	7.460e-02	6.310e-02	1.057e-01	nan	nan	nan	8.536e-02	6.513e-02	1.083e-01	1.672e-02	7.185e-03	6.223e-02	9.583e-02	6.357e-02	1.335e-01	1.042e-01	4.200e-02	1.335e-01	nan	nan	nan	8.755e-02	3.809e-02	1.335e-01
1.000e+03	6.594e-03	3.936e-03	1.100e-02	3.460e-02	2.164e-02	5.784e-02	3.460e-02	1.301e-02	4.075e-02	3.460e-02	1.807e-02	3.749e-02	3.460e-02	1.823e-02	3.460e-02	4.646e-02	4.330e-02	5.892e-02	8.010e-02	6.110e-02	1.045e-01	6.663e-02	5.399e-02	9.171e-02	8.456e-02	6.482e-02	1.005e-01	7.074e-02	6.431e-02	9.517e-02	9.099e-03	5.337e-03	1.549e-02	8.949e-02	6.229e-02	1.315e-01	6.957e-02	2.195e-02	1.200e-01	8.794e-02	3.570e-02	1.332e-01	6.296e-02	3.356e-02	1.283e-01
1.250e+03	4.889e-03	3.126e-03	9.561e-03	3.460e-02	2.004e-02	3.468e-02	2.499e-02	1.152e-02	3.460e-02	2.791e-02	1.301e-02	3.460e-02	3.460e-02	1.505e-02	3.460e-02	4.372e-02	4.312e-02	4.794e-02	7.478e-02	6.110e-02	9.371e-02	6.421e-02	5.321e-02	7.934e-02	7.301e-02	5.656e-02	9.810e-02	6.779e-02	5.595e-02	8.536e-02	7.730e-03	3.408e-03	1.166e-02	6.655e-02	2.743e-02	1.042e-01	4.713e-02	1.405e-02	8.840e-02	6.198e-02	2.359e-02	1.131e-01	5.583e-02	2.953e-02	1.283e-01
1.500e+03	4.536e-03	2.858e-03	6.047e-03	3.116e-02	1.301e-02	3.460e-02	2.230e-02	1.152e-02	3.460e-02	nan	nan	nan	nan	nan	nan	4.325e-02	4.312e-02	4.538e-02	7.192e-02	5.592e-02	9.353e-02	5.390e-02	4.581e-02	7.192e-02	nan	nan	nan	nan	nan	nan	5.984e-03	2.635e-03	9.405e-03	6.343e-02	2.218e-02	1.042e-01	4.111e-02	1.135e-02	8.020e-02	nan	nan	nan	nan	nan	nan
1.750e+03	4.241e-03	2.817e-03	5.685e-03	2.455e-02	1.209e-02	3.460e-02	1.301e-02	1.028e-02	3.319e-02	1.505e-02	1.301e-02	3.105e-02	3.178e-02	1.301e-02	3.460e-02	4.320e-02	4.296e-02	4.425e-02	6.452e-02	5.462e-02	8.196e-02	5.141e-02	4.531e-02	6.431e-02	6.771e-02	5.595e-02	8.441e-02	6.663e-02	5.595e-02	8.089e-02	3.571e-03	1.406e-03	9.405e-03	5.316e-02	1.834e-02	8.227e-02	3.835e-02	7.240e-03	6.562e-02	5.886e-02	1.497e-02	9.112e-02	5.583e-02	1.579e-02	9.114e-02
2.000e+03	3.470e-03	2.750e-03	5.015e-03	2.164e-02	1.048e-02	3.419e-02	1.301e-02	9.801e-03	3.319e-02	nan	nan	nan	2.791e-02	1.301e-02	3.460e-02	4.312e-02	4.246e-02	4.369e-02	6.452e-02	5.109e-02	8.066e-02	4.769e-02	4.515e-02	6.170e-02	nan	nan	nan	6.431e-02	5.556e-02	7.099e-02	2.828e-03	1.336e-03	9.154e-03	2.743e-02	9.605e-03	7.972e-02	2.444e-02	4.675e-03	5.251e-02	nan	nan	nan	4.153e-02	1.457e-02	7.864e-02
2.250e+03	3.234e-03	2.049e-03	5.015e-03	1.410e-02	8.893e-03	3.125e-02	1.301e-02	8.581e-03	2.696e-02	1.395e-02	1.130e-02	2.044e-02	1.823e-02	1.244e-02	3.188e-02	4.312e-02	4.220e-02	4.352e-02	5.670e-02	4.821e-02	7.563e-02	4.769e-02	4.473e-02	5.390e-02	6.431e-02	5.595e-02	7.634e-02	5.722e-02	5.201e-02	7.074e-02	2.635e-03	1.336e-03	8.169e-03	1.809e-02	9.140e-03	7.920e-02	1.812e-02	4.675e-03	3.520e-02	3.570e-02	1.150e-02	6.655e-02	4.153e-02	1.457e-02	6.655e-02
2.500e+03	2.892e-03	1.562e-03	4.065e-03	1.410e-02	8.893e-03	2.503e-02	1.152e-02	8.164e-03	2.481e-02	nan	nan	nan	nan	nan	nan	4.292e-02	4.183e-02	4.330e-02	5.595e-02	4.813e-02	7.400e-02	4.541e-02	4.462e-02	5.390e-02	nan	nan	nan	nan	nan	nan	2.635e-03	1.135e-03	7.863e-03	1.796e-02	8.184e-03	5.316e-02	1.542e-02	3.953e-03	2.693e-02	nan	nan	nan	nan	nan	nan
2.750e+03	2.835e-03	1.434e-03	4.065e-03	1.307e-02	7.609e-03	2.475e-02	1.024e-02	6.036e-03	1.410e-02	1.395e-02	1.130e-02	2.044e-02	1.372e-02	1.098e-02	3.178e-02	4.272e-02	4.165e-02	4.322e-02	5.525e-02	4.603e-02	6.796e-02	4.541e-02	4.389e-02	5.270e-02	5.595e-02	5.062e-02	6.431e-02	5.595e-02	5.201e-02	6.635e-02	2.549e-03	1.133e-03	6.847e-03	1.270e-02	7.863e-03	4.200e-02	1.135e-02	3.953e-03	2.125e-02	2.735e-02	1.067e-02	4.200e-02	4.112e-02	1.174e-02	6.421e-02
3.000e+03	2.758e-03	1.350e-03	3.639e-03	1.301e-02	6.501e-03	2.475e-02	9.548e-03	5.010e-03	1.301e-02	1.395e-02	1.093e-02	2.044e-02	1.301e-02	1.021e-02	2.743e-02	4.255e-02	4.162e-02	4.313e-02	5.462e-02	4.603e-02	6.787e-02	4.538e-02	4.367e-02	5.255e-02	5.595e-02	5.062e-02	6.431e-02	5.595e-02	5.072e-02	6.513e-02	2.549e-03	1.104e-03	6.847e-03	1.066e-02	7.240e-03	3.906e-02	7.240e-03	3.757e-03	2.125e-02	2.609e-02	1.066e-02	3.675e-02	3.685e-02	1.174e-02	5.761e-02
3.250e+03	2.699e-03	1.243e-03	3.478e-03	8.893e-03	6.313e-03	1.505e-02	8.492e-03	4.654e-03	1.301e-02	nan	nan	nan	1.301e-02	9.342e-03	2.244e-02	4.247e-02	4.146e-02	4.313e-02	5.068e-02	4.584e-02	6.431e-02	4.538e-02	4.345e-02	5.022e-02	nan	nan	nan	5.595e-02	4.836e-02	6.513e-02	2.036e-03	1.104e-03	5.318e-03	9.362e-03	5.486e-03	1.809e-02	7.240e-03	3.757e-03	1.712e-02	nan	nan	nan	2.554e-02	1.174e-02	4.430e-02
