x	y	0.fitness.0.	0.fitness.1.	5000.fitness.0.	5000.fitness.1.	10000.fitness.0.	10000.fitness.1.	15000.fitness.0.	15000.fitness.1.	25000.fitness.0.	25000.fitness.1.	50000.fitness.0.	50000.fitness.1.
0	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
0	1	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
0	2	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
0	3	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
0	4	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
0	5	8.423e+00	9.830e+00	5.751e+00	7.012e+00	4.391e+00	5.366e+00	4.342e+00	4.604e+00	3.855e+00	4.189e+00	3.855e+00	4.189e+00
0	6	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
0	7	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
0	8	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
0	9	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
0	10	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
1	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
1	1	8.086e+00	9.865e+00	4.693e+00	6.340e+00	4.069e+00	5.595e+00	3.724e+00	5.310e+00	3.426e+00	4.487e+00	3.426e+00	4.487e+00
1	2	8.664e+00	1.034e+01	4.555e+00	6.314e+00	4.192e+00	5.720e+00	3.757e+00	5.097e+00	3.648e+00	4.079e+00	3.648e+00	4.079e+00
1	3	8.810e+00	1.052e+01	5.192e+00	6.308e+00	4.229e+00	5.954e+00	3.581e+00	5.320e+00	3.171e+00	4.996e+00	3.171e+00	4.996e+00
1	4	8.639e+00	1.016e+01	5.708e+00	6.829e+00	4.742e+00	5.652e+00	3.729e+00	5.231e+00	3.336e+00	5.022e+00	3.336e+00	5.022e+00
1	5	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
1	6	8.442e+00	9.725e+00	5.651e+00	6.904e+00	3.964e+00	5.367e+00	3.829e+00	4.632e+00	3.829e+00	4.632e+00	3.767e+00	4.092e+00
1	7	8.198e+00	9.968e+00	5.645e+00	6.259e+00	4.646e+00	5.466e+00	3.917e+00	5.067e+00	3.657e+00	5.065e+00	3.013e+00	4.681e+00
1	8	7.161e+00	8.908e+00	5.552e+00	6.302e+00	4.924e+00	5.732e+00	3.583e+00	4.716e+00	3.583e+00	4.716e+00	3.583e+00	4.716e+00
1	9	8.587e+00	1.030e+01	5.608e+00	6.462e+00	4.407e+00	5.519e+00	4.130e+00	5.063e+00	4.094e+00	4.902e+00	3.778e+00	4.466e+00
1	10	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
2	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
2	1	8.932e+00	9.665e+00	4.823e+00	6.756e+00	4.188e+00	5.726e+00	3.854e+00	5.461e+00	3.463e+00	5.015e+00	3.463e+00	5.015e+00
2	2	7.539e+00	9.346e+00	4.608e+00	6.526e+00	3.938e+00	6.099e+00	3.788e+00	5.786e+00	3.239e+00	4.664e+00	3.239e+00	4.664e+00
2	3	7.991e+00	9.664e+00	5.247e+00	6.961e+00	3.929e+00	5.725e+00	3.717e+00	5.354e+00	3.247e+00	4.915e+00	3.219e+00	4.877e+00
2	4	8.846e+00	1.014e+01	5.016e+00	6.379e+00	3.298e+00	5.017e+00	3.298e+00	5.017e+00	3.298e+00	5.017e+00	3.298e+00	5.017e+00
2	5	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
2	6	9.053e+00	1.044e+01	5.688e+00	7.617e+00	4.332e+00	5.672e+00	3.925e+00	5.238e+00	3.735e+00	4.573e+00	3.302e+00	4.414e+00
2	7	8.035e+00	9.843e+00	5.450e+00	6.804e+00	3.680e+00	5.690e+00	3.680e+00	5.690e+00	3.302e+00	4.700e+00	3.302e+00	4.700e+00
2	8	8.199e+00	9.587e+00	4.848e+00	5.974e+00	4.300e+00	5.569e+00	4.121e+00	4.914e+00	4.105e+00	4.771e+00	3.978e+00	4.700e+00
2	9	7.648e+00	9.279e+00	5.522e+00	6.700e+00	4.401e+00	5.721e+00	3.957e+00	5.606e+00	3.662e+00	5.288e+00	2.742e+00	5.181e+00
2	10	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
3	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
3	1	8.034e+00	9.643e+00	5.237e+00	7.019e+00	4.067e+00	5.817e+00	3.639e+00	5.438e+00	3.320e+00	4.800e+00	3.320e+00	4.800e+00
3	2	8.197e+00	9.822e+00	5.153e+00	7.735e+00	3.831e+00	5.944e+00	3.700e+00	5.765e+00	3.331e+00	5.612e+00	3.024e+00	5.184e+00
3	3	7.868e+00	9.784e+00	5.175e+00	6.158e+00	4.821e+00	5.613e+00	3.886e+00	5.237e+00	3.337e+00	5.077e+00	2.966e+00	5.056e+00
3	4	7.855e+00	1.006e+01	5.631e+00	7.486e+00	4.121e+00	5.500e+00	4.032e+00	5.451e+00	3.750e+00	4.905e+00	3.360e+00	4.665e+00
3	5	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
3	6	8.089e+00	9.675e+00	5.180e+00	6.856e+00	3.935e+00	5.579e+00	3.842e+00	4.824e+00	3.842e+00	4.824e+00	3.365e+00	4.592e+00
3	7	8.149e+00	1.005e+01	5.495e+00	6.350e+00	4.117e+00	5.692e+00	4.012e+00	5.570e+00	3.138e+00	4.738e+00	3.138e+00	4.738e+00
3	8	7.929e+00	9.570e+00	5.045e+00	6.223e+00	3.945e+00	5.588e+00	3.945e+00	5.588e+00	2.765e+00	5.447e+00	2.765e+00	5.447e+00
3	9	8.139e+00	9.589e+00	5.144e+00	6.964e+00	4.343e+00	5.933e+00	4.027e+00	5.412e+00	3.997e+00	4.941e+00	3.461e+00	4.798e+00
3	10	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
4	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
4	1	7.935e+00	9.745e+00	5.486e+00	7.400e+00	3.614e+00	5.911e+00	3.204e+00	5.622e+00	3.170e+00	4.770e+00	3.131e+00	4.673e+00
4	2	7.763e+00	9.289e+00	4.828e+00	6.678e+00	4.482e+00	5.891e+00	4.145e+00	4.955e+00	3.531e+00	4.403e+00	3.446e+00	4.232e+00
4	3	7.949e+00	9.688e+00	4.914e+00	6.432e+00	4.563e+00	6.329e+00	3.962e+00	5.103e+00	3.429e+00	4.671e+00	3.429e+00	4.671e+00
4	4	7.814e+00	9.049e+00	4.898e+00	6.855e+00	3.844e+00	5.800e+00	3.672e+00	5.265e+00	3.546e+00	5.046e+00	3.131e+00	4.804e+00
4	5	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
4	6	9.001e+00	1.094e+01	4.869e+00	6.498e+00	3.931e+00	5.328e+00	3.931e+00	5.328e+00	3.748e+00	4.577e+00	3.695e+00	4.329e+00
4	7	8.028e+00	9.928e+00	5.785e+00	7.067e+00	4.546e+00	5.900e+00	3.376e+00	5.060e+00	3.376e+00	5.060e+00	3.339e+00	5.042e+00
4	8	7.457e+00	8.756e+00	5.543e+00	6.808e+00	4.139e+00	5.869e+00	4.139e+00	5.869e+00	3.412e+00	5.167e+00	3.412e+00	5.167e+00
