x	y	0.fitness.0.	0.fitness.1.	5000.fitness.0.	5000.fitness.1.	10000.fitness.0.	10000.fitness.1.	15000.fitness.0.	15000.fitness.1.	25000.fitness.0.	25000.fitness.1.	50000.fitness.0.	50000.fitness.1.
0	0	8.618e+00	1.010e+01	7.502e+00	9.393e+00	7.149e+00	8.658e+00	6.353e+00	7.996e+00	5.469e+00	6.735e+00	4.227e+00	4.782e+00
0	1	8.545e+00	9.843e+00	8.450e+00	9.593e+00	8.005e+00	8.861e+00	6.359e+00	7.892e+00	5.630e+00	6.486e+00	4.375e+00	5.289e+00
0	2	8.000e+00	9.328e+00	8.000e+00	9.328e+00	7.129e+00	8.582e+00	6.134e+00	7.058e+00	5.307e+00	6.262e+00	4.414e+00	5.370e+00
0	3	8.662e+00	1.017e+01	7.260e+00	8.772e+00	7.164e+00	8.446e+00	5.535e+00	7.473e+00	5.419e+00	7.436e+00	4.307e+00	5.944e+00
0	4	9.132e+00	1.035e+01	7.228e+00	8.796e+00	6.045e+00	7.439e+00	5.866e+00	7.281e+00	5.866e+00	7.281e+00	4.118e+00	5.761e+00
0	5	8.924e+00	1.011e+01	6.953e+00	9.116e+00	5.596e+00	7.653e+00	5.584e+00	7.184e+00	5.144e+00	7.038e+00	4.108e+00	5.166e+00
0	6	8.677e+00	9.715e+00	6.903e+00	8.413e+00	6.903e+00	8.413e+00	5.788e+00	7.249e+00	5.308e+00	6.817e+00	4.713e+00	5.540e+00
0	7	6.817e+00	8.333e+00	6.817e+00	8.333e+00	6.817e+00	8.333e+00	6.566e+00	8.241e+00	5.532e+00	7.052e+00	4.572e+00	6.229e+00
0	8	8.840e+00	1.005e+01	8.533e+00	9.489e+00	6.881e+00	8.064e+00	6.603e+00	7.986e+00	5.883e+00	6.830e+00	3.593e+00	5.339e+00
0	9	8.522e+00	1.081e+01	8.075e+00	9.573e+00	7.278e+00	8.558e+00	6.432e+00	8.293e+00	5.490e+00	7.043e+00	4.298e+00	5.320e+00
0	10	8.276e+00	9.772e+00	7.924e+00	9.078e+00	7.268e+00	8.551e+00	6.476e+00	8.161e+00	5.022e+00	6.868e+00	4.191e+00	5.876e+00
0	11	8.631e+00	1.049e+01	7.702e+00	8.642e+00	7.215e+00	8.057e+00	6.342e+00	8.022e+00	4.819e+00	6.541e+00	4.189e+00	5.033e+00
0	12	7.797e+00	1.002e+01	6.910e+00	9.251e+00	6.744e+00	8.852e+00	6.297e+00	7.879e+00	4.636e+00	6.569e+00	3.789e+00	5.668e+00
0	13	6.725e+00	9.077e+00	6.249e+00	8.853e+00	6.249e+00	8.853e+00	5.768e+00	8.035e+00	5.184e+00	6.808e+00	3.946e+00	5.154e+00
0	14	7.944e+00	9.468e+00	7.774e+00	8.916e+00	6.557e+00	8.543e+00	5.385e+00	7.475e+00	5.190e+00	6.943e+00	4.471e+00	5.925e+00
0	15	8.289e+00	9.498e+00	7.073e+00	8.775e+00	5.821e+00	7.466e+00	5.115e+00	7.328e+00	5.052e+00	6.512e+00	4.965e+00	6.200e+00
0	16	8.741e+00	9.891e+00	8.591e+00	9.451e+00	6.414e+00	7.734e+00	6.414e+00	7.734e+00	5.409e+00	7.362e+00	4.096e+00	5.558e+00
0	17	7.827e+00	9.691e+00	7.077e+00	8.525e+00	6.922e+00	7.799e+00	6.019e+00	6.986e+00	4.979e+00	6.820e+00	4.019e+00	5.065e+00
0	18	8.388e+00	1.018e+01	6.958e+00	8.495e+00	5.606e+00	7.092e+00	5.368e+00	6.709e+00	5.034e+00	6.292e+00	4.408e+00	5.471e+00
0	19	8.366e+00	9.549e+00	7.640e+00	9.289e+00	6.294e+00	7.897e+00	5.761e+00	7.125e+00	5.210e+00	6.740e+00	4.304e+00	5.890e+00
0	20	7.508e+00	9.188e+00	6.811e+00	8.542e+00	6.811e+00	8.542e+00	5.365e+00	6.840e+00	4.640e+00	6.234e+00	4.391e+00	6.028e+00
1	0	7.973e+00	1.002e+01	6.884e+00	8.475e+00	6.468e+00	8.026e+00	5.439e+00	7.300e+00	5.102e+00	6.132e+00	4.051e+00	5.139e+00
1	1	7.265e+00	9.236e+00	7.265e+00	9.236e+00	5.953e+00	8.268e+00	5.464e+00	6.758e+00	5.462e+00	6.616e+00	4.239e+00	5.657e+00
1	2	8.845e+00	1.022e+01	7.060e+00	8.796e+00	6.757e+00	8.557e+00	6.757e+00	8.557e+00	4.508e+00	6.384e+00	4.406e+00	6.175e+00
1	3	8.198e+00	9.930e+00	7.662e+00	9.191e+00	6.903e+00	8.454e+00	6.180e+00	7.732e+00	5.956e+00	7.058e+00	4.151e+00	5.594e+00
1	4	7.857e+00	9.365e+00	7.825e+00	8.934e+00	7.640e+00	8.557e+00	5.848e+00	7.358e+00	5.565e+00	6.962e+00	3.968e+00	5.436e+00
1	5	7.546e+00	9.373e+00	6.934e+00	8.888e+00	6.596e+00	8.232e+00	5.877e+00	7.144e+00	5.748e+00	6.842e+00	4.679e+00	5.548e+00
1	6	8.122e+00	1.071e+01	7.588e+00	9.793e+00	6.806e+00	8.408e+00	5.788e+00	7.549e+00	4.756e+00	6.713e+00	4.280e+00	5.933e+00
1	7	7.531e+00	9.613e+00	7.531e+00	9.613e+00	6.653e+00	8.160e+00	6.472e+00	7.862e+00	5.858e+00	7.139e+00	4.017e+00	5.637e+00
