x	y	0.fitness.0.	0.fitness.1.	5000.fitness.0.	5000.fitness.1.	10000.fitness.0.	10000.fitness.1.	15000.fitness.0.	15000.fitness.1.	25000.fitness.0.	25000.fitness.1.	50000.fitness.0.	50000.fitness.1.
0	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
0	1	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
0	2	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
0	3	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
0	4	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
0	5	9.200e-01	8.900e-01	7.900e-01	8.200e-01	6.800e-01	7.000e-01	5.900e-01	6.000e-01	4.900e-01	5.700e-01	4.700e-01	5.300e-01
0	6	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
0	7	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
0	8	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
0	9	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
0	10	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
1	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
1	1	9.000e-01	9.000e-01	7.800e-01	8.100e-01	6.500e-01	7.200e-01	5.900e-01	6.900e-01	5.400e-01	5.100e-01	5.100e-01	4.900e-01
1	2	8.300e-01	8.700e-01	7.300e-01	8.300e-01	6.200e-01	7.500e-01	6.000e-01	6.000e-01	5.200e-01	5.200e-01	5.200e-01	4.800e-01
1	3	9.100e-01	8.900e-01	7.600e-01	7.700e-01	6.600e-01	7.100e-01	6.300e-01	5.900e-01	5.700e-01	5.000e-01	5.300e-01	4.800e-01
1	4	9.500e-01	8.600e-01	7.300e-01	7.600e-01	6.600e-01	7.100e-01	5.800e-01	5.900e-01	5.200e-01	5.600e-01	4.800e-01	5.200e-01
1	5	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
1	6	8.700e-01	9.000e-01	7.700e-01	8.000e-01	6.600e-01	7.300e-01	6.100e-01	5.700e-01	5.200e-01	5.200e-01	4.900e-01	5.100e-01
1	7	8.700e-01	9.300e-01	7.400e-01	7.700e-01	6.500e-01	7.000e-01	5.600e-01	6.500e-01	4.900e-01	5.700e-01	4.600e-01	5.400e-01
1	8	8.700e-01	9.300e-01	7.700e-01	7.700e-01	6.400e-01	6.900e-01	5.500e-01	6.500e-01	5.000e-01	5.600e-01	4.800e-01	5.200e-01
1	9	8.200e-01	9.500e-01	7.300e-01	8.200e-01	6.300e-01	7.100e-01	5.500e-01	6.500e-01	4.900e-01	5.500e-01	4.700e-01	5.300e-01
1	10	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
2	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
2	1	8.700e-01	9.200e-01	8.000e-01	7.600e-01	7.300e-01	6.800e-01	6.000e-01	6.000e-01	5.300e-01	5.200e-01	4.900e-01	5.100e-01
2	2	8.900e-01	9.000e-01	7.800e-01	8.100e-01	6.500e-01	7.200e-01	6.000e-01	6.500e-01	5.100e-01	5.600e-01	4.900e-01	5.100e-01
2	3	9.400e-01	9.300e-01	8.000e-01	7.700e-01	6.700e-01	6.500e-01	5.800e-01	6.000e-01	5.300e-01	5.100e-01	4.900e-01	5.100e-01
2	4	8.800e-01	9.300e-01	7.600e-01	8.300e-01	6.500e-01	6.400e-01	6.200e-01	6.100e-01	5.600e-01	4.900e-01	5.600e-01	4.500e-01
2	5	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
2	6	8.600e-01	8.800e-01	7.800e-01	7.900e-01	6.500e-01	7.300e-01	5.700e-01	6.700e-01	4.900e-01	5.400e-01	4.800e-01	5.200e-01
2	7	8.900e-01	9.200e-01	7.600e-01	7.600e-01	6.600e-01	6.900e-01	5.700e-01	5.800e-01	5.100e-01	5.200e-01	4.800e-01	5.200e-01
2	8	8.900e-01	8.700e-01	7.000e-01	8.400e-01	6.300e-01	7.100e-01	5.700e-01	6.200e-01	5.000e-01	5.400e-01	4.800e-01	5.200e-01
2	9	8.900e-01	9.400e-01	7.600e-01	7.900e-01	6.400e-01	7.100e-01	5.400e-01	6.200e-01	4.600e-01	5.600e-01	4.500e-01	5.500e-01
2	10	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
3	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
3	1	8.800e-01	9.200e-01	7.500e-01	7.600e-01	6.800e-01	6.900e-01	5.800e-01	6.100e-01	5.300e-01	5.400e-01	5.100e-01	4.900e-01
3	2	9.200e-01	8.800e-01	7.800e-01	7.600e-01	6.800e-01	7.100e-01	6.000e-01	5.900e-01	5.300e-01	5.300e-01	5.000e-01	5.000e-01
3	3	8.800e-01	8.900e-01	7.600e-01	7.900e-01	6.500e-01	6.700e-01	6.400e-01	6.200e-01	5.500e-01	4.900e-01	5.100e-01	4.900e-01
3	4	9.200e-01	8.700e-01	8.000e-01	8.000e-01	6.500e-01	6.500e-01	6.000e-01	6.100e-01	5.200e-01	5.100e-01	5.000e-01	5.000e-01
3	5	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
3	6	9.600e-01	8.500e-01	8.400e-01	7.600e-01	6.900e-01	6.500e-01	6.000e-01	5.900e-01	5.000e-01	5.300e-01	5.000e-01	5.000e-01
3	7	8.900e-01	9.200e-01	8.200e-01	7.700e-01	6.300e-01	7.100e-01	5.600e-01	6.100e-01	5.100e-01	5.400e-01	4.600e-01	5.400e-01
3	8	9.200e-01	9.100e-01	7.500e-01	7.800e-01	6.600e-01	6.900e-01	5.700e-01	5.900e-01	5.400e-01	5.000e-01	5.100e-01	4.900e-01
3	9	8.900e-01	9.100e-01	7.400e-01	7.900e-01	6.000e-01	7.300e-01	5.400e-01	6.700e-01	4.700e-01	5.600e-01	4.600e-01	5.400e-01
3	10	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
4	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
4	1	8.800e-01	9.400e-01	7.900e-01	7.500e-01	6.600e-01	6.700e-01	5.800e-01	5.700e-01	5.300e-01	5.300e-01	5.100e-01	4.900e-01
4	2	8.600e-01	8.800e-01	7.500e-01	7.700e-01	6.900e-01	6.500e-01	6.000e-01	6.000e-01	5.200e-01	5.300e-01	4.800e-01	5.200e-01
4	3	8.900e-01	8.900e-01	7.500e-01	8.000e-01	6.600e-01	6.500e-01	5.900e-01	6.400e-01	5.100e-01	5.400e-01	4.800e-01	5.200e-01
4	4	8.500e-01	9.000e-01	7.600e-01	8.300e-01	6.700e-01	7.300e-01	5.700e-01	6.400e-01	5.000e-01	5.200e-01	4.900e-01	5.100e-01
4	5	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
4	6	8.800e-01	8.600e-01	7.800e-01	8.100e-01	6.700e-01	6.700e-01	5.700e-01	6.100e-01	4.900e-01	5.300e-01	4.800e-01	5.200e-01
4	7	9.100e-01	9.100e-01	7.500e-01	7.800e-01	6.300e-01	7.200e-01	5.800e-01	6.000e-01	5.200e-01	5.000e-01	5.100e-01	4.900e-01
4	8	9.400e-01	9.300e-01	7.900e-01	7.700e-01	6.500e-01	6.600e-01	5.600e-01	6.300e-01	5.000e-01	5.800e-01	4.600e-01	5.400e-01
