x	y	0.fitness.0.	0.fitness.1.	5000.fitness.0.	5000.fitness.1.	10000.fitness.0.	10000.fitness.1.	15000.fitness.0.	15000.fitness.1.	25000.fitness.0.	25000.fitness.1.	50000.fitness.0.	50000.fitness.1.
0	0	9.080e-01	8.840e-01	8.720e-01	8.520e-01	8.000e-01	7.920e-01	7.520e-01	7.440e-01	6.800e-01	6.800e-01	5.360e-01	5.720e-01
0	1	8.680e-01	9.200e-01	8.240e-01	8.800e-01	7.880e-01	8.200e-01	7.440e-01	7.800e-01	6.960e-01	6.800e-01	5.560e-01	5.600e-01
0	2	8.680e-01	8.920e-01	8.440e-01	8.640e-01	8.040e-01	8.080e-01	7.680e-01	7.840e-01	6.560e-01	6.880e-01	5.920e-01	5.360e-01
0	3	9.040e-01	8.880e-01	8.400e-01	8.640e-01	8.120e-01	8.200e-01	7.480e-01	7.400e-01	6.640e-01	6.840e-01	5.320e-01	5.600e-01
0	4	8.800e-01	9.160e-01	8.360e-01	8.640e-01	7.960e-01	8.320e-01	7.320e-01	7.760e-01	6.480e-01	7.040e-01	5.200e-01	5.640e-01
0	5	9.000e-01	8.920e-01	8.480e-01	8.520e-01	8.000e-01	8.240e-01	7.520e-01	7.720e-01	6.680e-01	7.040e-01	5.560e-01	5.640e-01
0	6	8.920e-01	8.680e-01	8.280e-01	8.400e-01	7.960e-01	8.040e-01	7.640e-01	7.680e-01	6.560e-01	7.200e-01	5.320e-01	6.000e-01
0	7	9.120e-01	9.320e-01	8.320e-01	8.640e-01	7.920e-01	8.080e-01	7.640e-01	7.640e-01	6.600e-01	7.120e-01	5.320e-01	6.040e-01
0	8	9.160e-01	9.120e-01	8.160e-01	8.840e-01	8.000e-01	8.800e-01	7.280e-01	7.800e-01	6.440e-01	6.840e-01	5.240e-01	5.880e-01
0	9	8.640e-01	8.920e-01	8.520e-01	8.320e-01	8.040e-01	7.960e-01	7.320e-01	7.520e-01	6.680e-01	6.880e-01	5.320e-01	6.000e-01
0	10	8.800e-01	9.000e-01	8.440e-01	8.240e-01	8.240e-01	8.120e-01	7.600e-01	7.560e-01	6.680e-01	6.960e-01	5.520e-01	5.880e-01
1	0	8.880e-01	8.920e-01	8.360e-01	8.720e-01	7.960e-01	8.400e-01	7.520e-01	7.680e-01	6.680e-01	6.960e-01	5.400e-01	5.920e-01
1	1	8.880e-01	8.920e-01	8.480e-01	8.560e-01	8.080e-01	8.280e-01	7.320e-01	7.480e-01	6.640e-01	6.920e-01	5.640e-01	5.560e-01
1	2	8.880e-01	8.920e-01	8.520e-01	8.800e-01	8.040e-01	8.040e-01	7.720e-01	7.560e-01	6.880e-01	6.840e-01	5.240e-01	5.840e-01
1	3	8.760e-01	8.880e-01	8.480e-01	8.560e-01	7.880e-01	8.160e-01	7.120e-01	7.760e-01	6.360e-01	7.000e-01	5.520e-01	5.720e-01
1	4	9.120e-01	9.200e-01	8.360e-01	8.640e-01	7.840e-01	8.320e-01	7.400e-01	7.880e-01	6.040e-01	7.280e-01	5.360e-01	5.800e-01
1	5	9.120e-01	9.200e-01	7.960e-01	8.520e-01	7.880e-01	8.440e-01	7.240e-01	7.800e-01	6.640e-01	6.920e-01	5.200e-01	6.200e-01
1	6	8.960e-01	9.120e-01	8.160e-01	8.440e-01	7.640e-01	8.280e-01	7.200e-01	7.840e-01	6.840e-01	6.840e-01	5.360e-01	6.000e-01
1	7	9.040e-01	9.080e-01	8.040e-01	8.480e-01	7.920e-01	8.160e-01	7.720e-01	7.720e-01	7.040e-01	6.680e-01	5.440e-01	5.840e-01
1	8	8.960e-01	8.880e-01	8.480e-01	8.680e-01	8.240e-01	8.240e-01	7.840e-01	7.360e-01	6.920e-01	6.800e-01	5.480e-01	6.000e-01
1	9	8.880e-01	9.000e-01	8.640e-01	8.600e-01	8.240e-01	8.080e-01	7.720e-01	7.560e-01	6.920e-01	6.800e-01	5.480e-01	5.800e-01
1	10	9.160e-01	8.760e-01	8.840e-01	8.240e-01	8.280e-01	7.800e-01	7.360e-01	7.440e-01	7.160e-01	6.440e-01	5.280e-01	5.800e-01
2	0	8.760e-01	8.920e-01	8.240e-01	8.880e-01	7.960e-01	8.000e-01	7.360e-01	7.520e-01	6.600e-01	7.200e-01	5.360e-01	5.760e-01
2	1	8.880e-01	9.120e-01	8.440e-01	8.760e-01	8.040e-01	8.120e-01	7.280e-01	7.560e-01	6.560e-01	7.040e-01	5.440e-01	5.800e-01
2	2	8.880e-01	8.880e-01	8.440e-01	8.640e-01	7.920e-01	8.120e-01	7.160e-01	7.600e-01	6.520e-01	6.920e-01	5.120e-01	6.160e-01
2	3	8.920e-01	8.920e-01	8.200e-01	8.520e-01	7.800e-01	8.040e-01	7.520e-01	8.000e-01	6.920e-01	7.200e-01	5.480e-01	5.680e-01
2	4	8.400e-01	8.920e-01	8.000e-01	8.560e-01	7.680e-01	8.040e-01	7.160e-01	7.720e-01	6.440e-01	6.760e-01	5.520e-01	5.760e-01
2	5	8.880e-01	9.400e-01	7.960e-01	8.600e-01	7.640e-01	8.320e-01	7.200e-01	7.960e-01	6.440e-01	6.960e-01	5.320e-01	5.960e-01
2	6	9.280e-01	8.840e-01	8.600e-01	8.400e-01	7.880e-01	7.880e-01	7.440e-01	7.680e-01	6.880e-01	7.240e-01	5.200e-01	5.960e-01
2	7	8.840e-01	9.040e-01	8.520e-01	8.640e-01	7.920e-01	7.840e-01	7.600e-01	7.520e-01	7.040e-01	6.640e-01	5.600e-01	5.520e-01
2	8	8.760e-01	8.720e-01	8.640e-01	8.400e-01	8.200e-01	8.040e-01	7.640e-01	7.640e-01	6.960e-01	7.000e-01	5.520e-01	5.760e-01
2	9	9.040e-01	8.720e-01	9.040e-01	8.240e-01	8.480e-01	7.960e-01	7.680e-01	7.600e-01	6.640e-01	6.840e-01	5.560e-01	5.440e-01
2	10	8.920e-01	8.960e-01	8.680e-01	8.760e-01	7.960e-01	8.320e-01	7.440e-01	8.000e-01	6.920e-01	6.800e-01	5.520e-01	5.520e-01
3	0	9.080e-01	9.200e-01	8.600e-01	8.760e-01	8.080e-01	8.120e-01	7.360e-01	7.600e-01	6.800e-01	6.800e-01	5.320e-01	5.880e-01
3	1	9.000e-01	9.120e-01	8.640e-01	8.560e-01	8.280e-01	8.040e-01	7.480e-01	7.640e-01	6.720e-01	6.600e-01	5.360e-01	5.840e-01
3	2	8.880e-01	9.200e-01	8.520e-01	8.560e-01	7.920e-01	8.200e-01	7.560e-01	7.440e-01	6.800e-01	6.960e-01	5.600e-01	5.840e-01
3	3	9.080e-01	9.240e-01	8.480e-01	8.160e-01	7.800e-01	7.960e-01	7.480e-01	7.440e-01	6.600e-01	6.760e-01	5.480e-01	5.680e-01
3	4	8.840e-01	8.720e-01	8.120e-01	8.240e-01	7.760e-01	7.800e-01	7.400e-01	7.400e-01	6.920e-01	7.040e-01	5.480e-01	5.720e-01
3	5	8.920e-01	8.680e-01	8.440e-01	8.400e-01	7.920e-01	8.320e-01	7.520e-01	7.720e-01	6.960e-01	6.880e-01	5.160e-01	6.200e-01
3	6	9.280e-01	8.760e-01	8.560e-01	8.680e-01	8.240e-01	8.160e-01	7.680e-01	7.320e-01	7.160e-01	6.640e-01	5.560e-01	5.440e-01
3	7	9.080e-01	8.920e-01	8.680e-01	8.320e-01	8.120e-01	8.000e-01	7.640e-01	7.680e-01	7.200e-01	6.960e-01	5.560e-01	5.720e-01
3	8	8.720e-01	8.880e-01	8.400e-01	8.600e-01	8.120e-01	8.080e-01	7.640e-01	7.680e-01	6.880e-01	7.040e-01	5.520e-01	5.600e-01
3	9	9.360e-01	8.800e-01	8.600e-01	8.640e-01	8.000e-01	8.160e-01	7.720e-01	7.840e-01	6.800e-01	7.080e-01	5.520e-01	5.760e-01
3	10	9.120e-01	8.920e-01	8.440e-01	8.360e-01	8.080e-01	8.040e-01	7.920e-01	7.440e-01	7.120e-01	6.760e-01	5.480e-01	5.760e-01
4	0	9.120e-01	8.880e-01	8.680e-01	8.680e-01	8.160e-01	8.320e-01	7.480e-01	7.400e-01	6.920e-01	6.720e-01	5.400e-01	5.520e-01
4	1	8.880e-01	8.880e-01	8.480e-01	8.600e-01	8.120e-01	7.960e-01	7.400e-01	7.720e-01	7.040e-01	6.560e-01	5.520e-01	5.520e-01
4	2	9.200e-01	9.280e-01	8.400e-01	8.360e-01	8.120e-01	8.040e-01	7.640e-01	7.160e-01	7.120e-01	6.400e-01	5.680e-01	5.400e-01
4	3	8.960e-01	9.080e-01	8.320e-01	8.800e-01	7.880e-01	8.120e-01	7.640e-01	7.360e-01	6.920e-01	6.840e-01	5.480e-01	5.680e-01
4	4	9.120e-01	9.000e-01	8.440e-01	8.080e-01	7.880e-01	8.000e-01	7.640e-01	7.600e-01	6.680e-01	7.120e-01	5.640e-01	5.560e-01
4	5	9.040e-01	9.360e-01	8.800e-01	8.480e-01	8.000e-01	8.000e-01	7.600e-01	7.920e-01	6.880e-01	6.880e-01	5.360e-01	5.880e-01
4	6	8.920e-01	9.080e-01	8.680e-01	8.720e-01	7.920e-01	8.080e-01	7.760e-01	7.640e-01	6.680e-01	7.080e-01	5.800e-01	5.440e-01
4	7	8.920e-01	8.840e-01	8.560e-01	8.760e-01	8.040e-01	7.720e-01	7.920e-01	7.280e-01	7.320e-01	6.800e-01	5.760e-01	5.560e-01
4	8	9.120e-01	9.080e-01	8.320e-01	8.520e-01	8.080e-01	8.200e-01	7.920e-01	7.200e-01	7.560e-01	6.720e-01	5.480e-01	5.800e-01
4	9	8.760e-01	9.120e-01	8.400e-01	8.520e-01	8.160e-01	8.200e-01	7.640e-01	7.680e-01	6.960e-01	7.000e-01	5.600e-01	5.880e-01
4	10	9.160e-01	8.880e-01	8.400e-01	8.640e-01	7.760e-01	8.440e-01	7.240e-01	7.960e-01	6.600e-01	7.240e-01	5.360e-01	5.880e-01
5	0	8.960e-01	9.040e-01	8.560e-01	8.800e-01	7.720e-01	8.440e-01	7.320e-01	7.560e-01	6.920e-01	6.680e-01	5.680e-01	5.480e-01
5	1	9.000e-01	9.240e-01	8.560e-01	8.840e-01	7.800e-01	7.880e-01	7.680e-01	7.520e-01	6.840e-01	6.680e-01	5.440e-01	5.640e-01
5	2	9.160e-01	8.920e-01	8.840e-01	8.640e-01	7.960e-01	8.200e-01	7.480e-01	7.600e-01	7.040e-01	6.720e-01	5.480e-01	5.600e-01
5	3	8.920e-01	9.040e-01	8.520e-01	8.760e-01	7.720e-01	8.160e-01	7.480e-01	7.880e-01	6.880e-01	6.840e-01	6.120e-01	5.200e-01
5	4	8.800e-01	9.200e-01	8.440e-01	8.680e-01	8.200e-01	8.080e-01	8.040e-01	7.560e-01	7.000e-01	6.440e-01	5.760e-01	5.360e-01
5	5	9.200e-01	8.800e-01	9.160e-01	8.280e-01	8.240e-01	7.760e-01	8.120e-01	7.680e-01	7.400e-01	6.640e-01	5.600e-01	5.560e-01
5	6	9.000e-01	9.280e-01	8.000e-01	8.440e-01	7.920e-01	8.000e-01	7.560e-01	7.840e-01	6.600e-01	7.000e-01	5.680e-01	5.480e-01
5	7	8.880e-01	9.080e-01	8.440e-01	8.800e-01	7.880e-01	8.280e-01	7.680e-01	7.680e-01	6.920e-01	6.840e-01	5.600e-01	5.640e-01
5	8	9.240e-01	8.920e-01	8.360e-01	8.360e-01	8.080e-01	7.800e-01	7.720e-01	7.560e-01	6.760e-01	7.040e-01	5.480e-01	5.920e-01
5	9	9.040e-01	9.000e-01	8.320e-01	8.840e-01	7.760e-01	8.360e-01	7.400e-01	7.800e-01	6.720e-01	7.200e-01	5.520e-01	5.840e-01
5	10	9.320e-01	8.880e-01	8.600e-01	8.520e-01	7.920e-01	8.400e-01	7.440e-01	7.600e-01	6.720e-01	6.800e-01	5.520e-01	5.560e-01
6	0	8.920e-01	9.440e-01	8.600e-01	8.920e-01	7.720e-01	7.920e-01	7.640e-01	7.800e-01	6.800e-01	6.960e-01	5.600e-01	5.600e-01
6	1	9.080e-01	9.040e-01	8.800e-01	8.360e-01	8.200e-01	8.240e-01	7.680e-01	7.520e-01	6.920e-01	7.360e-01	5.480e-01	5.760e-01
6	2	8.760e-01	9.240e-01	8.400e-01	8.600e-01	7.960e-01	8.200e-01	7.640e-01	7.200e-01	7.120e-01	6.640e-01	5.480e-01	5.400e-01
