_.mt2mo.mmIOneMax.25.2.nsga2	_.mt2mo.mmIOneMax.25.2.cabea.cc.11	_.mt2mo.mmIOneMax.25.2.cabea.e.21	_.mt2mo.mmIOneMax.25.2.cabea.e.11	_.mt2mo.mmIOneMax.25.2.cabea.cc.21	_.mt2mo.mmIOneMax.25.2.ga	_.mt2mo.mmIOneMax.25.2.ga.33	_.mt2mo.mmIOneMax.25.2.me.2	_.mt2mo.mmIOneMax.100.2.nsga2	_.mt2mo.mmIOneMax.100.2.cabea.cc.11	_.mt2mo.mmIOneMax.100.2.cabea.e.21	_.mt2mo.mmIOneMax.100.2.cabea.e.11	_.mt2mo.mmIOneMax.100.2.cabea.cc.21	_.mt2mo.mmIOneMax.100.2.ga	_.mt2mo.mmIOneMax.100.2.ga.33	_.mt2mo.mmIOneMax.100.2.me.2	_.mt2mo.mmIOneMax.250.2.nsga2	_.mt2mo.mmIOneMax.250.2.cabea.cc.11	_.mt2mo.mmIOneMax.250.2.cabea.e.21	_.mt2mo.mmIOneMax.250.2.cabea.e.11	_.mt2mo.mmIOneMax.250.2.cabea.cc.21	_.mt2mo.mmIOneMax.250.2.ga	_.mt2mo.mmIOneMax.250.2.ga.33	_.mt2mo.mmIOneMax.250.2.me.2
4.776e-01	3.472e-01	3.712e-01	3.672e-01	3.632e-01	2.816e-01	2.816e-01	3.056e-01	3.550e-01	2.900e-01	1.963e-01	3.024e-01	1.905e-01	2.600e-01	2.450e-01	2.495e-01	3.300e-01	2.571e-01	1.371e-01	2.417e-01	1.470e-01	2.600e-01	2.540e-01	2.137e-01
4.760e-01	3.888e-01	3.536e-01	3.464e-01	3.464e-01	3.016e-01	2.736e-01	2.648e-01	3.500e-01	2.750e-01	1.810e-01	2.773e-01	2.214e-01	2.550e-01	2.500e-01	2.155e-01	3.000e-01	2.689e-01	1.435e-01	2.378e-01	1.362e-01	2.620e-01	2.480e-01	2.174e-01
4.752e-01	3.272e-01	3.264e-01	3.264e-01	3.208e-01	2.808e-01	2.808e-01	3.136e-01	3.900e-01	2.800e-01	2.058e-01	2.906e-01	1.973e-01	2.400e-01	2.650e-01	2.369e-01	3.020e-01	2.565e-01	1.311e-01	2.312e-01	1.351e-01	2.600e-01	2.520e-01	2.296e-01
4.776e-01	3.688e-01	3.304e-01	3.464e-01	3.880e-01	2.808e-01	2.616e-01	2.800e-01	3.850e-01	2.800e-01	2.084e-01	2.833e-01	1.956e-01	2.450e-01	2.600e-01	2.466e-01	3.012e-01	2.603e-01	1.289e-01	2.378e-01	1.415e-01	2.520e-01	2.500e-01	2.036e-01
4.544e-01	3.664e-01	3.264e-01	3.672e-01	3.680e-01	2.608e-01	2.616e-01	3.128e-01	3.874e-01	2.778e-01	1.959e-01	3.080e-01	2.101e-01	2.700e-01	2.600e-01	2.456e-01	2.980e-01	2.524e-01	1.443e-01	2.457e-01	1.574e-01	2.640e-01	2.500e-01	2.199e-01
5.184e-01	3.672e-01	3.928e-01	3.256e-01	3.520e-01	3.016e-01	2.616e-01	3.000e-01	3.650e-01	2.658e-01	1.864e-01	2.900e-01	2.094e-01	2.550e-01	2.650e-01	2.287e-01	3.080e-01	2.625e-01	1.300e-01	2.341e-01	1.478e-01	2.480e-01	2.520e-01	2.079e-01
5.176e-01	3.248e-01	3.496e-01	3.672e-01	3.808e-01	3.008e-01	2.808e-01	3.280e-01	3.687e-01	2.850e-01	2.038e-01	2.760e-01	2.001e-01	2.650e-01	2.500e-01	2.514e-01	3.172e-01	2.493e-01	1.284e-01	2.436e-01	1.366e-01	2.520e-01	2.600e-01	1.977e-01
4.776e-01	3.464e-01	3.192e-01	3.680e-01	3.808e-01	2.816e-01	2.616e-01	3.040e-01	3.450e-01	2.850e-01	1.998e-01	2.912e-01	2.034e-01	2.550e-01	2.700e-01	2.471e-01	3.240e-01	2.525e-01	1.343e-01	2.436e-01	1.382e-01	2.500e-01	2.440e-01	1.850e-01
4.760e-01	3.672e-01	3.952e-01	3.456e-01	4.088e-01	2.608e-01	2.816e-01	3.144e-01	3.584e-01	3.050e-01	1.795e-01	2.955e-01	2.029e-01	2.650e-01	2.550e-01	2.369e-01	3.040e-01	2.633e-01	1.296e-01	2.383e-01	1.496e-01	2.480e-01	2.420e-01	2.046e-01
4.976e-01	3.448e-01	3.168e-01	4.096e-01	3.464e-01	2.608e-01	2.616e-01	3.152e-01	3.750e-01	3.080e-01	1.697e-01	2.874e-01	2.338e-01	2.650e-01	2.300e-01	2.456e-01	3.060e-01	2.587e-01	1.170e-01	2.401e-01	1.414e-01	2.580e-01	2.560e-01	2.163e-01
4.968e-01	3.456e-01	3.576e-01	3.680e-01	3.616e-01	2.808e-01	3.008e-01	3.224e-01	3.800e-01	2.850e-01	1.784e-01	2.853e-01	2.107e-01	2.550e-01	2.800e-01	2.161e-01	3.160e-01	2.557e-01	1.307e-01	2.451e-01	1.471e-01	2.520e-01	2.420e-01	2.061e-01
4.984e-01	3.264e-01	3.360e-01	3.672e-01	3.208e-01	3.016e-01	3.008e-01	3.224e-01	3.800e-01	2.878e-01	2.080e-01	2.904e-01	2.195e-01	2.500e-01	2.350e-01	2.345e-01	2.980e-01	2.646e-01	1.290e-01	2.573e-01	1.506e-01	2.600e-01	2.420e-01	2.166e-01
4.976e-01	3.256e-01	3.648e-01	3.880e-01	3.592e-01	2.816e-01	2.408e-01	2.928e-01	3.650e-01	2.850e-01	2.005e-01	3.038e-01	2.053e-01	2.450e-01	2.500e-01	2.282e-01	2.960e-01	2.481e-01	1.250e-01	2.419e-01	1.486e-01	2.580e-01	2.520e-01	2.000e-01
4.568e-01	3.472e-01	3.464e-01	3.680e-01	3.464e-01	3.008e-01	3.016e-01	2.928e-01	3.700e-01	2.849e-01	1.801e-01	2.809e-01	2.113e-01	2.500e-01	2.650e-01	2.327e-01	3.200e-01	2.689e-01	1.510e-01	2.436e-01	1.463e-01	2.460e-01	2.520e-01	1.922e-01
5.184e-01	3.464e-01	3.224e-01	3.488e-01	4.480e-01	2.808e-01	2.816e-01	2.928e-01	3.500e-01	2.750e-01	2.036e-01	2.837e-01	2.171e-01	2.550e-01	2.600e-01	2.229e-01	2.886e-01	2.594e-01	1.265e-01	2.503e-01	1.389e-01	2.500e-01	2.500e-01	2.078e-01
