evals.q.250.	_.mmIOneMax.100.2.cabea.e.11.best.fitness	_.mmIOneMax.100.2.cabea.e.11.best.fitness.min	_.mmIOneMax.100.2.cabea.e.11.best.fitness.max	_.mmIOneMax.100.2.cabea.cc.11.best.fitness	_.mmIOneMax.100.2.cabea.cc.11.best.fitness.min	_.mmIOneMax.100.2.cabea.cc.11.best.fitness.max	_.mmIOneMax.100.2.cabea.s.11.best.fitness	_.mmIOneMax.100.2.cabea.s.11.best.fitness.min	_.mmIOneMax.100.2.cabea.s.11.best.fitness.max	_.mmIOneMax.100.2.cabea.ttt.11.best.fitness	_.mmIOneMax.100.2.cabea.ttt.11.best.fitness.min	_.mmIOneMax.100.2.cabea.ttt.11.best.fitness.max	_.mmIOneMax.100.3.cabea.e.11.best.fitness	_.mmIOneMax.100.3.cabea.e.11.best.fitness.min	_.mmIOneMax.100.3.cabea.e.11.best.fitness.max	_.mmIOneMax.100.3.cabea.cc.11.best.fitness	_.mmIOneMax.100.3.cabea.cc.11.best.fitness.min	_.mmIOneMax.100.3.cabea.cc.11.best.fitness.max	_.mmIOneMax.100.3.cabea.s.11.best.fitness	_.mmIOneMax.100.3.cabea.s.11.best.fitness.min	_.mmIOneMax.100.3.cabea.s.11.best.fitness.max	_.mmIOneMax.100.3.cabea.ttt.11.best.fitness	_.mmIOneMax.100.3.cabea.ttt.11.best.fitness.min	_.mmIOneMax.100.3.cabea.ttt.11.best.fitness.max	_.mmIOneMax.100.5.cabea.e.11.best.fitness	_.mmIOneMax.100.5.cabea.e.11.best.fitness.min	_.mmIOneMax.100.5.cabea.e.11.best.fitness.max	_.mmIOneMax.100.5.cabea.cc.11.best.fitness	_.mmIOneMax.100.5.cabea.cc.11.best.fitness.min	_.mmIOneMax.100.5.cabea.cc.11.best.fitness.max	_.mmIOneMax.100.5.cabea.s.11.best.fitness	_.mmIOneMax.100.5.cabea.s.11.best.fitness.min	_.mmIOneMax.100.5.cabea.s.11.best.fitness.max	_.mmIOneMax.100.5.cabea.ttt.11.best.fitness	_.mmIOneMax.100.5.cabea.ttt.11.best.fitness.min	_.mmIOneMax.100.5.cabea.ttt.11.best.fitness.max	_.mmIOneMax.100.8.cabea.e.11.best.fitness	_.mmIOneMax.100.8.cabea.e.11.best.fitness.min	_.mmIOneMax.100.8.cabea.e.11.best.fitness.max	_.mmIOneMax.100.8.cabea.cc.11.best.fitness	_.mmIOneMax.100.8.cabea.cc.11.best.fitness.min	_.mmIOneMax.100.8.cabea.cc.11.best.fitness.max	_.mmIOneMax.100.8.cabea.s.11.best.fitness	_.mmIOneMax.100.8.cabea.s.11.best.fitness.min	_.mmIOneMax.100.8.cabea.s.11.best.fitness.max	_.mmIOneMax.100.8.cabea.ttt.11.best.fitness	_.mmIOneMax.100.8.cabea.ttt.11.best.fitness.min	_.mmIOneMax.100.8.cabea.ttt.11.best.fitness.max
0.000e+00	8.100e-01	8.000e-01	8.200e-01	8.200e-01	8.100e-01	8.300e-01	8.100e-01	8.100e-01	8.200e-01	8.100e-01	8.100e-01	8.200e-01	8.000e-01	8.000e-01	8.100e-01	8.100e-01	8.000e-01	8.200e-01	8.100e-01	8.000e-01	8.200e-01	8.100e-01	8.000e-01	8.200e-01	8.000e-01	7.900e-01	8.100e-01	8.100e-01	8.000e-01	8.200e-01	8.100e-01	7.900e-01	8.100e-01	8.100e-01	7.900e-01	8.200e-01	8.000e-01	7.900e-01	8.100e-01	8.100e-01	8.000e-01	8.200e-01	8.000e-01	7.900e-01	8.100e-01	8.100e-01	8.000e-01	8.100e-01
2.500e+02	8.100e-01	7.900e-01	8.200e-01	8.100e-01	8.000e-01	8.200e-01	8.100e-01	8.000e-01	8.100e-01	8.100e-01	8.000e-01	8.100e-01	8.000e-01	7.900e-01	8.100e-01	8.000e-01	7.900e-01	8.100e-01	8.000e-01	7.900e-01	8.100e-01	8.000e-01	7.900e-01	8.100e-01	8.000e-01	7.900e-01	8.100e-01	8.000e-01	7.900e-01	8.100e-01	8.000e-01	7.900e-01	8.100e-01	8.000e-01	7.800e-01	8.100e-01	7.900e-01	7.900e-01	8.000e-01	8.000e-01	7.900e-01	8.000e-01	8.000e-01	7.900e-01	8.100e-01	8.000e-01	7.900e-01	8.000e-01
5.000e+02	8.000e-01	7.900e-01	8.000e-01	8.000e-01	7.900e-01	8.100e-01	8.000e-01	7.900e-01	8.100e-01	8.000e-01	7.900e-01	8.000e-01	7.900e-01	7.900e-01	8.000e-01	7.900e-01	7.800e-01	8.000e-01	7.900e-01	7.800e-01	8.000e-01	7.900e-01	7.800e-01	8.000e-01	7.900e-01	7.800e-01	8.000e-01	7.900e-01	7.700e-01	8.000e-01	7.900e-01	7.800e-01	8.000e-01	7.800e-01	7.700e-01	8.000e-01	7.900e-01	7.800e-01	7.900e-01	7.900e-01	7.800e-01	7.900e-01	7.900e-01	7.800e-01	7.900e-01	7.900e-01	7.700e-01	8.000e-01
7.500e+02	7.900e-01	7.800e-01	8.000e-01	7.900e-01	7.800e-01	7.900e-01	7.900e-01	7.800e-01	8.000e-01	7.800e-01	7.700e-01	8.000e-01	7.900e-01	7.800e-01	7.900e-01	7.800e-01	7.700e-01	7.900e-01	7.800e-01	7.700e-01	7.900e-01	7.800e-01	7.700e-01	7.900e-01	7.900e-01	7.700e-01	7.900e-01	7.700e-01	7.600e-01	7.900e-01	7.800e-01	7.600e-01	7.900e-01	7.700e-01	7.600e-01	7.900e-01	7.800e-01	7.700e-01	7.900e-01	7.700e-01	7.600e-01	7.800e-01	7.800e-01	7.700e-01	7.900e-01	7.700e-01	7.600e-01	7.800e-01
1.000e+03	7.800e-01	7.700e-01	7.900e-01	7.700e-01	7.500e-01	7.800e-01	7.800e-01	7.700e-01	7.800e-01	7.700e-01	7.600e-01	7.800e-01	7.800e-01	7.700e-01	7.900e-01	7.700e-01	7.600e-01	7.800e-01	7.700e-01	7.700e-01	7.800e-01	7.700e-01	7.600e-01	7.800e-01	7.700e-01	7.600e-01	7.800e-01	7.600e-01	7.500e-01	7.700e-01	7.700e-01	7.600e-01	7.800e-01	7.600e-01	7.500e-01	7.800e-01	7.700e-01	7.600e-01	7.800e-01	7.600e-01	7.500e-01	7.700e-01	7.700e-01	7.600e-01	7.800e-01	7.600e-01	7.500e-01	7.700e-01
1.250e+03	7.700e-01	7.600e-01	7.800e-01	7.500e-01	7.400e-01	7.600e-01	7.600e-01	7.500e-01	7.700e-01	7.600e-01	7.500e-01	7.700e-01	7.700e-01	7.600e-01	7.800e-01	7.600e-01	7.400e-01	7.700e-01	7.700e-01	7.600e-01	7.700e-01	7.600e-01	7.500e-01	7.700e-01	7.600e-01	7.500e-01	7.700e-01	7.500e-01	7.400e-01	7.600e-01	7.500e-01	7.400e-01	7.700e-01	7.500e-01	7.400e-01	7.600e-01	7.600e-01	7.500e-01	7.700e-01	7.400e-01	7.400e-01	7.500e-01	7.600e-01	7.500e-01	7.600e-01	7.500e-01	7.300e-01	7.700e-01
1.500e+03	7.700e-01	7.600e-01	7.800e-01	7.400e-01	7.300e-01	7.500e-01	7.500e-01	7.400e-01	7.600e-01	7.500e-01	7.400e-01	7.700e-01	7.700e-01	7.500e-01	7.700e-01	7.400e-01	7.300e-01	7.600e-01	7.600e-01	7.500e-01	7.600e-01	7.500e-01	7.300e-01	7.600e-01	7.600e-01	7.500e-01	7.600e-01	7.400e-01	7.200e-01	7.400e-01	7.500e-01	7.400e-01	7.600e-01	7.400e-01	7.200e-01	7.500e-01	7.500e-01	7.500e-01	7.600e-01	7.300e-01	7.200e-01	7.400e-01	7.500e-01	7.300e-01	7.600e-01	7.400e-01	7.300e-01	7.500e-01
1.750e+03	7.600e-01	7.500e-01	7.700e-01	7.300e-01	7.200e-01	7.400e-01	7.400e-01	7.400e-01	7.500e-01	7.400e-01	7.300e-01	7.500e-01	7.600e-01	7.500e-01	7.700e-01	7.300e-01	7.100e-01	7.400e-01	7.500e-01	7.300e-01	7.600e-01	7.400e-01	7.200e-01	7.500e-01	7.500e-01	7.400e-01	7.600e-01	7.200e-01	7.000e-01	7.300e-01	7.400e-01	7.300e-01	7.500e-01	7.200e-01	7.100e-01	7.400e-01	7.500e-01	7.400e-01	7.600e-01	7.200e-01	7.100e-01	7.300e-01	7.300e-01	7.200e-01	7.400e-01	7.300e-01	7.100e-01	7.400e-01
2.000e+03	7.500e-01	7.400e-01	7.600e-01	7.200e-01	7.100e-01	7.300e-01	7.400e-01	7.200e-01	7.400e-01	7.300e-01	7.200e-01	7.400e-01	7.500e-01	7.400e-01	7.600e-01	7.200e-01	7.000e-01	7.300e-01	7.300e-01	7.200e-01	7.500e-01	7.300e-01	7.100e-01	7.400e-01	7.400e-01	7.300e-01	7.500e-01	7.100e-01	6.900e-01	7.200e-01	7.300e-01	7.200e-01	7.400e-01	7.200e-01	7.100e-01	7.300e-01	7.400e-01	7.200e-01	7.500e-01	7.000e-01	6.800e-01	7.100e-01	7.200e-01	7.100e-01	7.300e-01	7.200e-01	6.900e-01	7.300e-01
2.250e+03	7.400e-01	7.300e-01	7.500e-01	7.100e-01	7.000e-01	7.200e-01	7.200e-01	7.100e-01	7.400e-01	7.300e-01	7.200e-01	7.300e-01	7.400e-01	7.200e-01	7.600e-01	7.000e-01	6.900e-01	7.200e-01	7.300e-01	7.100e-01	7.400e-01	7.200e-01	7.000e-01	7.300e-01	7.400e-01	7.300e-01	7.400e-01	6.900e-01	6.800e-01	7.100e-01	7.200e-01	7.100e-01	7.300e-01	7.100e-01	7.000e-01	7.200e-01	7.300e-01	7.200e-01	7.400e-01	6.900e-01	6.700e-01	7.000e-01	7.100e-01	7.000e-01	7.200e-01	7.000e-01	6.900e-01	7.200e-01
