_.mmIOneMax.100.2.cabea.s.11	_.mmIOneMax.100.2.cabea.cc.11	_.mmIOneMax.100.2.cabea.e.11	_.mmIOneMax.100.2.cabea.ttt.11	_.mmIOneMax.100.3.cabea.s.11	_.mmIOneMax.100.3.cabea.cc.11	_.mmIOneMax.100.3.cabea.e.11	_.mmIOneMax.100.3.cabea.ttt.11	_.mmIOneMax.100.5.cabea.s.11	_.mmIOneMax.100.5.cabea.cc.11	_.mmIOneMax.100.5.cabea.e.11	_.mmIOneMax.100.5.cabea.ttt.11	_.mmIOneMax.100.8.cabea.s.11	_.mmIOneMax.100.8.cabea.cc.11	_.mmIOneMax.100.8.cabea.e.11	_.mmIOneMax.100.8.cabea.ttt.11
7.000e-02	0.000e+00	5.000e-01	0.000e+00	4.667e-02	3.333e-03	2.400e-01	2.167e-01	2.400e-01	9.000e-02	3.200e-01	1.900e-01	1.500e-01	1.800e-01	1.388e-01	1.387e-01
5.000e-01	3.000e-02	5.000e-03	1.200e-01	2.400e-01	2.200e-01	1.200e-01	2.267e-01	1.660e-01	1.020e-01	2.360e-01	2.400e-01	1.375e-01	1.200e-01	1.500e-01	1.388e-01
0.000e+00	0.000e+00	4.000e-02	0.000e+00	2.200e-01	0.000e+00	3.333e-02	2.500e-01	1.580e-01	1.620e-01	1.800e-01	1.100e-01	1.788e-01	1.513e-01	1.725e-01	1.275e-01
0.000e+00	2.500e-02	1.500e-02	1.500e-02	2.233e-01	6.667e-03	9.000e-02	2.733e-01	2.040e-01	9.000e-02	2.360e-01	1.680e-01	1.550e-01	1.525e-01	1.863e-01	1.825e-01
1.000e-02	5.000e-03	5.000e-03	5.000e-03	7.333e-02	2.300e-01	4.000e-02	2.200e-01	1.700e-01	9.600e-02	2.460e-01	6.400e-02	1.325e-01	1.850e-01	1.513e-01	1.225e-01
5.000e-03	1.000e-02	2.000e-02	1.000e-02	7.667e-02	2.667e-02	3.667e-02	4.667e-02	1.660e-01	2.400e-01	3.200e-01	1.820e-01	1.800e-01	1.250e-01	1.450e-01	1.838e-01
2.000e-02	4.000e-02	2.000e-02	9.000e-02	7.333e-02	2.333e-01	3.333e-02	2.333e-02	2.400e-01	2.380e-01	1.860e-01	1.140e-01	1.738e-01	1.725e-01	1.750e-01	1.250e-01
3.000e-02	5.000e-03	4.000e-02	0.000e+00	2.200e-01	2.267e-01	2.667e-02	4.000e-02	1.700e-01	1.680e-01	1.580e-01	1.740e-01	1.175e-01	1.825e-01	1.800e-01	1.825e-01
3.500e-02	4.000e-02	1.000e-02	3.500e-02	1.667e-02	5.333e-02	1.400e-01	2.233e-01	1.560e-01	1.660e-01	2.540e-01	1.980e-01	1.438e-01	1.525e-01	9.625e-02	1.550e-01
1.000e-02	5.000e-03	2.500e-02	3.500e-02	2.233e-01	2.233e-01	2.433e-01	2.200e-01	1.960e-01	1.640e-01	1.680e-01	1.740e-01	1.425e-01	1.525e-01	1.725e-01	1.925e-01
4.000e-02	0.000e+00	3.000e-02	0.000e+00	2.467e-01	2.200e-01	2.233e-01	5.667e-02	1.760e-01	2.440e-01	1.660e-01	1.140e-01	1.500e-01	1.500e-01	2.100e-01	1.513e-01
5.000e-03	2.500e-02	0.000e+00	0.000e+00	3.667e-02	2.333e-02	2.200e-01	6.000e-02	2.380e-01	2.400e-01	1.460e-01	1.020e-01	1.225e-01	1.213e-01	1.725e-01	1.500e-01
1.000e-02	0.000e+00	5.500e-02	4.500e-02	9.667e-02	3.667e-02	2.233e-01	3.333e-02	1.740e-01	1.940e-01	2.340e-01	3.200e-01	1.550e-01	1.500e-01	1.600e-01	1.213e-01
1.000e-02	5.500e-02	5.000e-03	0.000e+00	2.233e-01	2.200e-01	2.133e-01	2.633e-01	2.400e-01	2.420e-01	2.340e-01	2.380e-01	1.625e-01	1.825e-01	1.550e-01	2.100e-01
5.000e-03	0.000e+00	6.500e-02	1.000e-02	3.000e-02	6.667e-03	2.233e-01	2.333e-02	1.200e-01	1.060e-01	2.540e-01	5.000e-02	1.725e-01	1.788e-01	1.850e-01	1.400e-01
1.000e-02	5.000e-03	1.500e-02	5.000e-03	1.667e-02	2.200e-01	8.333e-02	4.667e-02	2.140e-01	2.400e-01	1.660e-01	1.620e-01	1.288e-01	1.250e-01	1.738e-01	1.575e-01
